#cycles, S_a (MPa)
50043.42952596336, 304.3384885916487
61810.2778157969, 275.4565502529583
64649.06882505588, 262.997448795745
169586.85224960672, 247.7449948831778
565161.8625105635, 233.04313985499925
761338.8628672551, 220.14010003026843
1579862.092639026, 191.8692976260827
3173264.1073141545, 178.55402931722847
3682937.77739026, 205.51896106891124
9552328.626265539, 185.27652459677992
18242638.367873847, 164.96778564118816
35011737.76351732, 165.60774874241474
