name,2324-T39,2324-T39,A357-T6 (UNCHILLED),A357-T6 (UNCHILLED),"7178-T6,T651","7178-T6,T651",A357-T6 (CHILLED),A357-T6 (CHILLED),"7075-T6,T651","7075-T6,T651",7150-T651,7150-T651,"7079-T6,T651","7079-T6,T651","7075-T73,T7351","7075-T73,T7351","7475-T61,T651","7475-T61,T651","7475,T761,T7651","7475,T761,T7651","2024-T3,T351","2024-T3,T351"
axis,t,$K_c \text{ ksi}\sqrt{\text{in}} $,t,$K_c \text{ ksi}\sqrt{\text{in}} $,t,$K_c \text{ ksi}\sqrt{\text{in}} $,t,$K_c \text{ ksi}\sqrt{\text{in}} $,t,$K_c \text{ ksi}\sqrt{\text{in}} $,t,$K_c \text{ ksi}\sqrt{\text{in}} $,t,$K_c \text{ ksi}\sqrt{\text{in}} $,t,$K_c \text{ ksi}\sqrt{\text{in}} $,t,$K_c \text{ ksi}\sqrt{\text{in}} $,t,$K_c \text{ ksi}\sqrt{\text{in}} $,t,$K_c \text{ ksi}\sqrt{\text{in}} $
0,0.005696734,153.5199857773237,0.003006716,28.29419939192313,0.001957418,33.37333987042327,0.003559982,34.97023666974581,0.002634692,49.925733254783786,0.005649038,54.7414393360199,0.002901786,58.6499900670231,0.003932005,63.229681868006416,0.003750763,84.60876654504747,0.003331044,106.65946137674968,0.005620421,144.23257837107363
1,0.017546092202020202,153.6055350500231,0.014878813808080807,28.1954632881292,0.013866708555555555,33.11467175350242,0.015460311606060605,34.91231214176316,0.01451478721212121,49.80178677084678,0.01747719827272727,54.65447186997087,0.014777737979797978,58.54613847689895,0.01581258198989899,63.224517251150864,0.015628834777777777,84.28854874885123,0.015209308484848484,106.42369974734777,0.017486448494949496,144.3179746364807
2,0.029395450404040402,153.65548725238895,0.026750911616161614,28.07239768928493,0.02577599911111111,32.85675644971979,0.02736064121212121,34.82310483334628,0.026394882424242424,49.68012848053491,0.029305358545454546,54.56314280519865,0.026653689959595956,58.438229425287005,0.027693158979797978,63.212597387870375,0.027506906555555558,83.97276578887076,0.027087572969696966,106.17914248142849,0.029352475989898992,144.3710405657384
3,0.041244808606060605,153.67029591818095,0.03862300942424242,27.926446187361726,0.03768528966666667,32.5997173207886,0.03926097081818182,34.704302418579054,0.03827497763636364,49.56068576471793,0.041133518818181815,54.467689168246764,0.03852964193939394,58.32639864187453,0.039573735969696974,63.194237802439176,0.039384978333333334,83.66116118371119,0.03896583745454545,105.92605863870547,0.041218503484848484,144.39201609579104
4,0.05309416680808081,153.65042040159983,0.05049510723232323,27.759022262639352,0.049594580222222226,32.343675138532866,0.051161300424242426,34.55755927325512,0.05015507284848485,49.443387238093955,0.05296167909090909,54.36834276843662,0.050405593919191916,58.21077992337305,0.05145431295959596,63.16974758567527,0.05126305011111111,83.3534845161487,0.05084410193939393,105.66471363408128,0.053084530979797984,144.38115201961625
5,0.064943525010101,153.59632587728714,0.062367205040404036,27.5715092837059,0.06150387077777778,32.088748084887364,0.06306163003030303,34.38449647487784,0.06203516806060606,49.32816274918948,0.06478983936363636,54.265330197867485,0.06228154589898989,58.091505133518275,0.06333488994949495,63.13942939494047,0.06314112188888889,83.04949143313056,0.06272236642424242,105.39536923764742,0.06495055847474748,144.33870998622513
6,0.0767928832121212,153.5084833403254,0.07423930284848484,27.365260507457798,0.07341316133333334,31.835051751897648,0.07496195963636364,34.186701802660345,0.07391526327272727,49.21494338035935,0.07661799963636362,54.15887283141651,0.07415749787878788,57.96870420307014,0.07521546693939395,63.1035794541404,0.07501919366666668,82.7489436457751,0.07460063090909091,105.11828357468431,0.07681658596969697,144.26496250066205
7,0.08864224141414141,153.38736960623808,0.08611140065656565,27.14159907909982,0.08532245188888889,31.582699141720056,0.08686228924242424,33.96572973752546,0.08579535848484847,49.10366144778677,0.0884461599090909,54.04918682673871,0.08603344985858585,57.84250512981281,0.08709604392929293,63.062487553724466,0.08689726544444445,82.45160892937177,0.0864788953939394,104.83371112566131,0.08868261346464647,144.16019292400486
8,0.10049159961616161,153.2334673109896,0.09798349846464646,26.901818032145066,0.09723174244444445,31.331800666621696,0.09876261884848485,33.723101462105774,0.09767545369696969,48.99425050148331,0.10027432018181817,53.93648312426699,0.09790940183838383,57.713033978554634,0.09897662091919192,63.01643705068589,0.09877533722222223,82.15726112338106,0.09835715987878788,104.5419027262367,0.10054864095959597,144.02469547336477
9,0.1123409578181818,153.0472649109853,0.10985559627272727,26.647180288414987,0.10914103300000001,31.08246414898045,0.11066294845454545,33.46030486074363,0.1095555489090909,48.8866453252889,0.11210248045454545,53.820967447212105,0.1097853538181818,57.58041488112822,0.1108571979090909,62.96570486856165,0.11065340900000001,81.86568013143454,0.11023542436363636,104.24310556725769,0.11241466845454547,143.85877522188633
10,0.12419031602020202,152.8292566830714,0.12172769408080808,26.37891865803936,0.12105032355555556,30.834794821284977,0.12256327806060606,33.178794519491085,0.1214356441212121,48.78078193687185,0.12393064072727272,53.7028403015627,0.12166130579797978,57.444770036390366,0.12273777489898989,62.91056149743259,0.12253148077777778,81.57665192133491,0.12211368884848484,103.93756319476041,0.12428069594949497,143.66274809874747
11,0.13603967422222224,152.57994272453516,0.13359979188888887,26.09823583945631,0.1329596141111111,30.588895326134715,0.13446360766666665,32.87999172610994,0.13331573933333332,48.67659758772879,0.13575880099999998,53.5822969760853,0.13353725777777775,57.306219710222095,0.13461835188888888,62.851270993923286,0.13440955255555556,81.28996852505588,0.13399195333333333,103.62551550996997,0.13614672344444445,143.4369408891596
12,0.14788903242424242,152.2998289531047,0.14547188969696967,25.806304419412296,0.14486890466666666,30.344865716239866,0.14636393727272726,32.565284470071745,0.14519583454545454,48.57403076318476,0.14758696127272725,53.45952754232428,0.14541320975757574,57.16488223552863,0.14649892887878788,62.78809098120215,0.14628762433333334,81.0054280387423,0.14587021781818182,103.30719876930031,0.14801275093939392,143.18169123436732
13,0.15973839062626263,151.9894271069491,0.1573439875050505,25.50426687296211,0.15677819522222222,30.102803454421426,0.15826426687878786,32.236027442557784,0.15707592975757576,48.47302118239312,0.15941512154545454,53.33471685460191,0.1572891617373737,57.02087401223944,0.15837950586868685,62.7212726489814,0.15816569611111111,80.72283462271005,0.1577484823030303,102.98284558435441,0.15987877843434342,142.8973476316488
14,0.17158774882828284,151.6492547446784,0.1692160853131313,25.193235563468885,0.16868748577777776,29.862803413611154,0.17016459648484847,31.893542036459067,0.16895602496969694,48.373509798335625,0.1712432818181818,53.20804455001832,0.1691651137171717,56.87430950730819,0.17026008285858585,62.651060753517015,0.1700437678888889,80.44199850144612,0.16962674678787878,102.65268492192408,0.17174480592929292,142.58426943431556
15,0.18343710703030303,151.27983524534346,0.1810881831212121,24.874292742604098,0.18059677633333332,29.624957876851578,0.18206492609090907,31.539116346376368,0.18083612018181816,48.275438797822375,0.1830714420909091,53.07968504845152,0.18104106569696965,56.72530125471276,0.18214065984848482,62.57769361760881,0.18192183966666667,80.16273596360858,0.18150501127272725,102.31694210399014,0.18361083342424242,142.24282685171235
