name,4330M (180-200KSI),4330M (180-200KSI),301(FH),301(FH),4330M (220-240 KSI),4330M (220-240 KSI),4340(260-280 ksi),4340(260-280 ksi),15-5 PH(150-170 KSI),15-5 PH(150-170 KSI),15-5 PH(180-200)&4340M(275-300K,15-5 PH(180-200)&4340M(275-300K,17-4 PH (180-200 KSI),17-4 PH (180-200 KSI)
axis,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$
0,-0.0219999999999997,233.6,0.004714317,130.38018680000002,0.0212307692307693,48.89852172774715,0.0142857142857142,33.00000000000001,-0.0404761904761902,114.00000000000001,-0.0161904761904761,43.00000000000001,0.00476190476190474,26.999999999999996
1,-0.02060552860552831,233.6,0.004755396532532532,130.37988669549551,0.02260907060907067,48.84881743026196,0.015725249058582306,33.00000000000001,-0.03929882263215569,114.00000000000001,-0.014761428094761338,43.00000000000001,0.006215739549072853,26.999999999999996
2,-0.01921105721105692,233.6,0.004796476065065065,130.379586590991,0.023987371987372046,48.80121883705611,0.017164783831450408,33.00000000000001,-0.03812145478812119,114.00000000000001,-0.013332379999046576,43.00000000000001,0.007669574336240966,26.999999999999996
3,-0.017816585816585528,233.6,0.004837555597597598,130.3792864864865,0.025365673365673417,48.75567261358892,0.018604318604318514,33.00000000000001,-0.036944086944086685,114.00000000000001,-0.011903331903331817,43.00000000000001,0.00912340912340908,27.0
4,-0.016422114422114137,233.60000000000002,0.00487863513013013,130.378986381982,0.026743974743974788,48.71212542531967,0.020043853377186616,33.00000000000001,-0.035766719100052184,114.00000000000001,-0.010474283807617056,43.00000000000001,0.010577243910577194,27.0
5,-0.015027643027642746,233.60000000000002,0.004919714662662663,130.3786862774775,0.02812227612227616,48.67052393770765,0.02148338815005472,33.00000000000001,-0.03458935125601768,114.00000000000001,-0.009045235711902294,43.00000000000001,0.012031078697745307,27.0
6,-0.013633171633171353,233.60000000000002,0.004960794195195195,130.378386172973,0.02950057750057753,48.630814816212165,0.022922922922922827,33.00000000000001,-0.033411983411983176,114.00000000000001,-0.007616187616187535,43.00000000000001,0.01348491348491342,27.0
7,-0.012238700238699962,233.60000000000002,0.0050018737277277275,130.3780860684685,0.030878878878878906,48.59294472629251,0.02436245769579093,33.00000000000001,-0.03223461556794867,114.00000000000001,-0.006187139520472774,43.00000000000001,0.014938748272081533,27.0
8,-0.010844228844228572,233.60000000000002,0.005042953260260261,130.377785963964,0.032257180257180273,48.55686033340797,0.02580199246865903,33.00000000000001,-0.031057247723914164,114.00000000000001,-0.0047580914247580125,43.00000000000001,0.016392583059249646,27.000000000000004
9,-0.00944975744975718,233.60000000000002,0.005084032792792793,130.37748585945948,0.03363548163548165,48.522508303017844,0.027241527241527137,33.00000000000001,-0.02987987987987966,114.00000000000001,-0.0033290433290432513,43.00000000000001,0.01784641784641776,27.000000000000004
10,-0.00805528605528579,233.60000000000002,0.005125112325325325,130.37718575495498,0.03501378301378302,48.489835300581426,0.028681062014395242,33.00000000000001,-0.028702512035845156,114.00000000000001,-0.00189999523332849,43.00000000000001,0.01930025263358587,27.000000000000004
11,-0.006660814660814399,233.60000000000002,0.005166191857857858,130.37688565045048,0.0363920843920844,48.45878799155802,0.030120596787263344,33.00000000000001,-0.027525144191810652,114.00000000000003,-0.0004709471376137288,43.00000000000001,0.020754087420753985,27.000000000000004
12,-0.005266343266343006,233.60000000000005,0.0052072713903903904,130.37658554594597,0.037770385770385766,48.4293130414069,0.031560131560131446,33.00000000000001,-0.026347776347776145,114.00000000000003,0.000958100958101029,43.00000000000001,0.0222079222079221,27.000000000000004
13,-0.0038718718718716155,233.60000000000005,0.005248350922922923,130.37628544144147,0.039148687148687134,48.40135711558738,0.032999666332999555,33.00000000000001,-0.025170408503741644,114.00000000000003,0.0023871490538157902,43.00000000000001,0.02366175699509021,27.000000000000007
14,-0.0024774004774002246,233.60000000000005,0.005289430455455456,130.37598533693696,0.04052698852698851,48.374866879558745,0.03443920110586766,33.00000000000001,-0.023993040659707136,114.00000000000003,0.0038161971495305515,43.00000000000001,0.025115591782258327,27.000000000000007
15,-0.0010829290829288338,233.60000000000005,0.005330509987987988,130.37568523243246,0.04190528990528988,48.34978899878029,0.03587873587873576,33.00000000000001,-0.022815672815672632,114.00000000000003,0.005245245245245313,43.00000000000001,0.026569426569426437,27.000000000000007
16,0.0003115423115425571,233.60000000000005,0.00537158952052052,130.37538512792796,0.04328359128359126,48.326070138711316,0.03731827065160387,33.00000000000001,-0.021638304971638128,114.00000000000003,0.006674293340960074,43.00000000000001,0.028023261356594553,27.000000000000007
17,0.001706013706013948,233.60000000000005,0.005412669053053053,130.37508502342345,0.044661892661892626,48.30365696481111,0.03875780542447197,33.00000000000001,-0.020460937127603624,114.00000000000001,0.008103341436674835,43.000000000000014,0.029477096143762663,27.000000000000007
18,0.003100485100485339,233.60000000000005,0.005453748585585586,130.37478491891895,0.046040194040193994,48.28249614253897,0.04019734019734007,33.00000000000001,-0.01928356928356912,114.00000000000001,0.009532389532389596,43.000000000000014,0.03093093093093078,27.00000000000001
19,0.00449495649495673,233.60000000000005,0.005494828118118118,130.37448481441444,0.04741849541849537,48.26253433735418,0.04163687497020818,33.00000000000001,-0.018106201439534616,114.00000000000001,0.010961437628104358,43.000000000000014,0.03238476571809889,27.00000000000001
20,0.005889427889428121,233.60000000000005,0.00553590765065065,130.37418470990994,0.04879679679679674,48.243718214716054,0.04307640974307628,33.00000000000001,-0.016928833595500112,114.00000000000001,0.012390485723819119,43.000000000000014,0.033838600505267005,27.00000000000001
21,0.0072838992838995115,233.60000000000005,0.005576987183183183,130.37388460540544,0.05017509817509812,48.22599444008387,0.044515944515944386,33.00000000000001,-0.015751465751465604,114.00000000000001,0.013819533819533877,43.000000000000014,0.035292435292435115,27.00000000000001
22,0.008678370678370902,233.60000000000005,0.0056180667157157155,130.37358450090093,0.05155339955339949,48.20930967891694,0.04595547928881249,33.00000000000001,-0.0145740979074311,114.00000000000001,0.015248581915248641,43.000000000000014,0.03674627007960323,27.00000000000001
23,0.010072842072842293,233.60000000000008,0.005659146248248248,130.37328439639643,0.052931700931700854,48.19361059667454,0.04739501406168059,33.00000000000001,-0.013396730063396596,114.00000000000001,0.0166776300109634,43.000000000000014,0.03820010486677134,27.00000000000001
24,0.011467313467313688,233.60000000000008,0.005700225780780781,130.37298429189192,0.05431000231000223,48.17884385881597,0.0488345488345487,33.00000000000001,-0.012219362219362092,114.00000000000001,0.018106678106678157,43.000000000000014,0.03965393965393946,27.00000000000001
25,0.012861784861785075,233.60000000000008,0.005741305313313313,130.37268418738742,0.0556883036883036,48.16495613080053,0.0502740836074168,33.00000000000001,-0.011041994375327588,114.00000000000001,0.01953572620239292,43.000000000000014,0.04110777444110757,27.00000000000001
26,0.01425625625625647,233.60000000000008,0.005782384845845845,130.37238408288292,0.05706660506660498,48.15189407808751,0.051713618380284904,33.00000000000001,-0.009864626531293084,114.00000000000001,0.02096477429810768,43.000000000000014,0.04256160922827568,27.000000000000014
27,0.015650727650727857,233.60000000000008,0.0058234643783783785,130.3720839783784,0.05844490644490635,48.139604366136204,0.05315315315315301,33.000000000000014,-0.00868725868725858,114.00000000000001,0.022393822393822444,43.000000000000014,0.04401544401544379,27.000000000000014
28,0.01704519904519925,233.60000000000008,0.005864543910910911,130.3717838738739,0.05982320782320773,48.12803366040591,0.054592687926021115,33.000000000000014,-0.007509890843224072,114.00000000000001,0.023822870489537202,43.000000000000014,0.04546927880261191,27.000000000000014
29,0.01843967043967064,233.60000000000008,0.005905623443443443,130.3714837693694,0.06120150920150909,48.11712862635592,0.05603222269888922,33.000000000000014,-0.0063325229991895715,114.00000000000001,0.025251918585251967,43.000000000000014,0.04692311358978002,27.000000000000014
30,0.019834141834142033,233.60000000000008,0.005946702975975975,130.37118366486487,0.06257981057981046,48.10683592944552,0.05747175747175732,33.000000000000014,-0.005155155155155064,114.00000000000001,0.026680966680966724,43.000000000000014,0.048376948376948135,27.000000000000014
31,0.02122861322861342,233.60000000000008,0.005987782508508508,130.37088356036037,0.06395811195811184,48.097102235134024,0.05891129224462543,33.000000000000014,-0.003977787311120563,114.00000000000001,0.02811001477668149,43.000000000000014,0.049830783164116245,27.000000000000014
32,0.022623084623084815,233.60000000000008,0.006028862041041041,130.37058345585586,0.06533641333641321,48.08787420888071,0.06035082701749353,33.000000000000014,-0.0028004194670860558,114.00000000000001,0.029539062872396247,43.000000000000014,0.05128461795128436,27.000000000000014
33,0.02401755601755621,233.60000000000008,0.006069941573573573,130.37028335135136,0.06671471471471459,48.07909851614489,0.06179036179036163,33.000000000000014,-0.0016230516230515482,114.00000000000001,0.030968110968111005,43.00000000000002,0.05273845273845248,27.000000000000014
34,0.025412027412027596,233.6000000000001,0.006111021106106106,130.36998324684686,0.06809301609301595,48.070721822385835,0.06322989656322975,33.000000000000014,-0.0004456837790170476,114.00000000000001,0.03239715906382577,43.00000000000002,0.05419228752562059,27.000000000000014
35,0.02680649880649899,233.59999999999428,0.006152100638638638,130.3696831423391,0.06947131747131732,48.062690793061655,0.06466943133609784,32.99999999999918,0.00073168406501746,113.99999999999717,0.03382620715954053,42.999999999998934,0.055646122312788704,26.999999999999332
