name,K<sub>tg</sub>,K<sub>tg</sub>,K<sub>tn</sub>,K<sub>tn</sub>
axis,a/w,K<sub>t</sub>,a/w,K<sub>t</sub>
0,0.0012,3.0093235278032116,0.0,3.0230737697771977
1,0.0035286432160804024,3.008956301431422,0.0035949748743718596,3.0106555106869175
2,0.005857286432160804,3.0086169809551597,0.007189949748743719,2.998451636556354
3,0.008185929648241207,3.0083055001469012,0.010784924623115578,2.986452705438207
4,0.010514572864321609,3.0080218231436335,0.014379899497487438,2.974649657210436
5,0.01284321608040201,3.007765943904897,0.0179748743718593,2.963033804517578
6,0.015171859296482414,3.0075378856748216,0.021569849246231156,2.951596823807489
7,0.017500502512562816,3.0073377004481445,0.025164824120603016,2.9403307464635278
8,0.019829145728643218,3.007165468440217,0.028759798994974876,2.9292279500321703
9,0.02215778894472362,3.007021297561,0.03235477386934674,2.9182811495460554
10,0.024486432160804022,3.0069053228930427,0.0359497487437186,2.907483388942464
11,0.026815075376884424,3.0068177061734542,0.03954472361809046,2.896828032577237
12,0.02914371859296483,3.0067586352798563,0.04313969849246231,2.886308756834118
13,0.03147236180904523,3.0067283237203264,0.04673467336683417,2.875919541829537
14,0.03380100502512563,3.0067270101273276,0.05032964824120603,2.8656546632128217
15,0.036129648241206035,3.0067549577556254,0.05392462311557789,2.8555086840618475
16,0.038458291457286436,3.0068124539841916,0.05751959798994975,2.8454764468741156
17,0.04078693467336684,3.006899809822094,0.06111457286432161,2.835553065653268
18,0.04311557788944724,3.007017359418376,0.06470954773869347,2.8257339180910344
19,0.04544422110552764,3.0071654595759196,0.06830452261306533,2.8160146378446136
20,0.047772864321608044,3.0073444892693018,0.0718994974874372,2.8063911069094853
21,0.050101507537688446,3.007554849166629,0.07549447236180905,2.79685944808766
22,0.05243015075376885,3.0077969611553654,0.07908944723618092,2.7874160175513576
23,0.05475879396984925,3.008071267872148,0.08268442211055277,2.7780573975021223
24,0.05708743718592966,3.008378232236585,0.08627939698492462,2.7687803889253697
25,0.05941608040201006,3.0087183369890456,0.08987437185929649,2.759582004440367
26,0.06174472361809046,3.0090920842324325,0.09346934673366834,2.750459461245647
27,0.06407336683417086,3.0094999949779457,0.09706432160804021,2.7414101741598573
28,0.06640201005025127,3.0099426086948315,0.10065929648241206,2.7324317487580365
29,0.06873065326633167,3.0104204828641175,0.10425427135678393,2.723521974603333
30,0.07105929648241208,3.0109341925363373,0.10784924623115578,2.7146788185741495
31,0.07338793969849247,3.011484329893239,0.11144422110552765,2.7059004182867246
32,0.07571658291457288,3.0120715038134858,0.1150391959798995,2.6971850756131466
33,0.07804522613065329,3.0126963394423365,0.11863417085427136,2.688531250294801
34,0.08037386934673368,3.013359477765322,0.12222914572864323,2.679937553651251
35,0.08270251256281409,3.014061575185899,0.1258241206030151,2.6714027423845508
36,0.08503115577889449,3.0148033031071004,0.12941909547738695,2.6629257124789953
37,0.0873597989949749,3.015585347517165,0.1330140703517588,2.6545054931962975
38,0.08968844221105529,3.016408408579161,0.13660904522613065,2.6461412411662053
39,0.0920170854271357,3.0172732002245892,0.14020402010050254,2.6378322345725476
40,0.0943457286432161,3.018180449750981,0.1437989949748744,2.6295778674347154
41,0.0966743718592965,3.0191308974234774,0.14739396984924624,2.621377643984576
42,0.0990030150753769,3.0201252960804,0.1509889447236181,2.6132311731388196
43,0.10133165829145731,3.021164410742803,0.15458391959798995,2.6051381630667416
44,0.1036603015075377,3.022249018228021,0.15817889447236183,2.5970984158534542
45,0.10598894472361811,3.023379906767193,0.16177386934673368,2.5891118222585368
46,0.1083175879396985,3.0245578756267855,0.16536884422110554,2.5811783565701156
47,0.11064623115577892,3.025783734734092,0.1689638190954774,2.5732980715543756
48,0.11297487437185932,3.027058304306726,0.17255879396984924,2.5654710935005123
49,0.11530351758793972,3.028382414486099,0.17615376884422113,2.5576976173611086
50,0.11763216080402013,3.0297569049748874,0.17974874371859298,2.549977901987951
51,0.11996080402010052,3.031182624678482,0.18334371859296483,2.542312265463277
52,0.12228944723618093,3.0326604313504313,0.1869386934673367,2.534701080526455
53,0.12461809045226133,3.0341911912418644,0.19053366834170857,2.527144770096099
54,0.12694673366834172,3.0357757787549082,0.19412864321608042,2.519643802887617
55,0.12927537688442214,3.037415076100087,0.19772361809045227,2.5121986891261905
