name,R/c = 85,R/c = 85,R/c = 80,R/c = 80,R/c = 75,R/c = 75,R/c = 70,R/c = 70,R/c = 65,R/c = 65,R/c = 60,R/c = 60,R/c = 55,R/c = 55,R/c = 50,R/c = 50,R/c = 40,R/c = 40,R/c = 30,R/c = 30,R/c = 20,R/c = 20
axis,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta
0,0.02099999999999999,2.1354581300842677,0.02099999999999999,1.9292212536450177,0.02099999999999999,1.7558831511608368,0.02099999999999999,1.6007372977564651,0.02099999999999999,1.4803354477538853,0.02099999999999999,1.377860242009446,0.02099999999999999,1.2913172324613285,0.021000000000000046,1.2212360976088181,0.02099999999999999,1.1187548332454154,0.021000000000000046,1.060061478784139,0.007233840611343939,1.024027292919261
1,0.02746464646464646,2.134243534227742,0.028272727272727265,1.9273603297994346,0.02867676767676767,1.7537056217318616,0.029080808080808075,1.5988412918215937,0.02928282828282828,1.478288177556869,0.02948484848484848,1.3758147045911024,0.02968686868686868,1.289475440346162,0.029686868686868734,1.2198200993519177,0.02968686868686868,1.1178480348960411,0.029686868686868737,1.0592258080253236,0.016189068693865792,1.0236830977809097
2,0.03392929292929293,2.133053364574426,0.03554545454545454,1.9255344524058566,0.036353535353535346,1.7515686077118597,0.03716161616161616,1.5969817855465034,0.037565656565656566,1.4762822916186598,0.037969696969696966,1.3738125703386976,0.03837373737373737,1.2876744869476506,0.03837373737373742,1.2184368183208476,0.03837373737373737,1.1169640162428829,0.03837373737373743,1.058410755745856,0.02514429677638765,1.023347851361497
3,0.04039393939393939,2.1318876211243203,0.04281818181818181,1.9237436214642838,0.04403030303030303,1.7494721091008312,0.045242424242424244,1.595158778931194,0.04584848484848485,1.4743177899392577,0.04645454545454546,1.3718538392522317,0.04706060606060607,1.2859143722657949,0.04706060606060611,1.217086254515608,0.04706060606060607,1.1161027772859402,0.04706060606060612,1.0576163219457355,0.034099524858909505,1.023021553661023
4,0.04685858585858586,2.1307463038774244,0.05009090909090909,1.921987836974716,0.05170707070707071,1.7474161258987762,0.05332323232323233,1.5933722719756658,0.054131313131313134,1.4723946725186627,0.05493939393939394,1.3699385113317042,0.055747474747474754,1.2841950963005946,0.055747474747474796,1.215768407936199,0.055747474747474754,1.1152643180252135,0.05574747474747481,1.0568425066249627,0.04305475294143136,1.0227042046794876
5,0.05332323232323233,2.1296294128337383,0.05736363636363637,1.9202670989371535,0.059383838383838386,1.7454006581056942,0.06140404040404041,1.5916222646799185,0.06241414141414142,1.4705129393568748,0.06342424242424242,1.3680665865771153,0.06443434343434344,1.2825166590520496,0.06443434343434348,1.2144832785826203,0.06443434343434344,1.1144486384607026,0.0644343434343435,1.0560893097835373,0.05200998102395321,1.022395804416891
6,0.05978787878787879,2.128536947993262,0.06463636363636363,1.918581407351596,0.06706060606060607,1.7434257057215858,0.0694848484848485,1.5899087570439525,0.0706969696969697,1.468672590453894,0.07190909090909092,1.3662380649884651,0.07312121212121214,1.28087906052016,0.07312121212121217,1.213230866454872,0.07312121212121214,1.1136557385924075,0.0731212121212122,1.0553567314214596,0.06096520910647507,1.0220963528732332
7,0.06625252525252526,2.1274689093559958,0.07190909090909091,1.9169307622180436,0.07473737373737374,1.7414912687464508,0.07756565656565659,1.5882317490677673,0.07897979797979798,1.4668736258097204,0.0803939393939394,1.3644529465657538,0.08180808080808083,1.2792823007049259,0.08180808080808086,1.2120111715529545,0.08180808080808083,1.1128856184203282,0.08180808080808089,1.0546447715387293,0.06992043718899692,1.0218058500485139
8,0.07271717171717174,2.126425296921939,0.07918181818181819,1.9153151635364964,0.08241414141414143,1.739597347180289,0.08564646464646467,1.5865912407513634,0.08726262626262628,1.4651160454243537,0.08887878787878789,1.3627112313089809,0.09049494949494952,1.2777263796063472,0.09049494949494954,1.2108241938768671,0.09049494949494952,1.1121382779444648,0.09049494949494957,1.0539534301353464,0.07887566527151878,1.0215242959427335
9,0.07918181818181819,2.125406110691092,0.08645454545454546,1.9137346113069544,0.09009090909090911,1.7377439410231008,0.09372727272727274,1.5849872320947405,0.09554545454545456,1.4633998492977942,0.09736363636363637,1.3610129192181466,0.0991818181818182,1.2762112972244237,0.09918181818181823,1.2096699334266101,0.0991818181818182,1.111413717164817,0.09918181818181826,1.053282707211311,0.08783089335404064,1.0212516905558915
10,0.08564646464646467,2.124411350663456,0.09372727272727274,1.9121891055294173,0.09776767676767678,1.7359310502748857,0.10180808080808083,1.5834197230978986,0.10382828282828285,1.4617250374300417,0.10584848484848486,1.359358010293251,0.10786868686868689,1.2747370535591558,0.10786868686868692,1.2085483902021839,0.10786868686868689,1.1107119360813853,0.10786868686868695,1.0526326027666228,0.09678612143656248,1.0209880338879884
11,0.09211111111111113,2.123441016839029,0.101,1.9106786462038854,0.10544444444444447,1.7341586749356441,0.10988888888888892,1.5818887137608377,0.11211111111111113,1.4600916098210963,0.11433333333333336,1.357746504534294,0.11655555555555559,1.2733036486105433,0.1165555555555556,1.2074595642035877,0.11655555555555559,1.110032934694169,0.11655555555555565,1.0520031168012824,0.10574134951908434,1.0207333259390239
12,0.0985757575757576,2.122495109217812,0.10827272727272728,1.9092032333303588,0.11312121212121215,1.7324268150053759,0.117969696969697,1.580394204083558,0.12039393939393941,1.4584995664709581,0.12281818181818184,1.356178401941276,0.12524242424242427,1.2719110823785862,0.1252424242424243,1.2064034554308223,0.12524242424242427,1.1093767130031689,0.12524242424242432,1.0513942493152895,0.1146965776016062,1.020487566708998
13,0.10504040404040406,2.1215736277998047,0.11554545454545456,1.9077628669088371,0.12079797979797982,1.730735470484081,0.12605050505050508,1.5789361940660593,0.12867676767676772,1.456948907379627,0.1313030303030303,1.3546537025141963,0.13392929292929295,1.2705593548632845,0.13392929292929298,1.2053800638838872,0.13392929292929295,1.1087432710083844,0.133929292929293,1.0508060003086441,0.12365180568412805,1.020250756197911
14,0.11150505050505054,2.1206765725850074,0.12281818181818183,1.9063575469393206,0.12847474747474752,1.7290846413717595,0.13413131313131316,1.5775146837083416,0.136959595959596,1.4554396325471028,0.13978787878787882,1.3531724062530552,0.14261616161616167,1.2692484660646381,0.14261616161616167,1.2043893895627824,0.14261616161616167,1.1081326087098158,0.14261616161616172,1.050238369781346,0.1326070337666499,1.0200228944057625
