name,p/b = 1/12,p/b = 1/12,p/b = 1/6,p/b = 1/6,p/b = 1/3,p/b = 1/3,p/b = 2/3,p/b = 2/3,p/b = 1,p/b = 1
axis,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta
0,0.0046497146616408525,0.9803827812392474,0.037874477110087984,0.9815182330582682,0.04148113250317059,0.9954123978356434,0.07496044123521192,0.9975410748414041,0.15143770951892935,0.9987572583434672
1,0.013107171697931352,0.9499916099625249,0.0591511580452167,0.9381166173627001,0.0729091307365049,0.9772462517762077,0.12589014270002477,0.9896130307533536,0.20238634489973636,0.9936138844132223
2,0.021934981796695174,0.9182740019758565,0.06297479178761056,0.930316910126691,0.11238643351216243,0.9549530986227636,0.17672476788721028,0.9816997868486744,0.2532605477741555,0.9877333470616524
3,0.03521750970046569,0.8882029246172056,0.07827742920962136,0.9073006200601215,0.14138246744664176,0.9376346239467453,0.2275477097066392,0.9684821865101451,0.3105387619322988,0.9792821246217375
4,0.046051216900381914,0.8619894207291197,0.10164737346729022,0.8727735618822174,0.18098300161683353,0.9139823944820884,0.27313547825683193,0.9569595974847536,0.3443718878304366,0.9732299800448929
5,0.06796725137764117,0.8077590461530182,0.12724861918302308,0.8460698594921494,0.22341403478846236,0.8926105719031406,0.32389217997711794,0.9441729215211712,0.38708336060374504,0.965430724999203
6,0.07332742318926291,0.7944955095657706,0.1460638645122024,0.831060589203247,0.25429078871166366,0.8797667572966099,0.3779830423011038,0.9332787215322105,0.4404047956865549,0.9574710117165977
7,0.08935918318790695,0.7753824925059951,0.1832414603513586,0.802623623372958,0.2943050134832659,0.8631220256039953,0.42423800958278446,0.9240981845937366,0.48885802004127654,0.9499293595756462
8,0.12112293671454613,0.7378549215323242,0.2210762881287899,0.7859788230209912,0.3341203261384871,0.8453808249813248,0.47259055301209474,0.9148851804942324,0.5391428918031574,0.9417260761178556
9,0.17031814582911856,0.7248276640909135,0.2696684913140678,0.769722463100653,0.37585582885598934,0.836650733208727,0.5262584985830777,0.9041658228003709,0.5903386856133552,0.9323159602393829
10,0.22120499050716172,0.7160733337226781,0.32054884933537164,0.7611232566713882,0.42651020665084327,0.8260550212120079,0.5771053606782525,0.8938084234304373,0.640952138270344,0.923119840044676
11,0.2721641658507632,0.713318299937576,0.3714621661738141,0.7547964700063038,0.47594812361961525,0.8150270149823107,0.6145045711001512,0.8833315920185884,0.6910120699634745,0.9137458237694241
12,0.3231479016316623,0.7130741197977464,0.4223667076192942,0.7505724379188923,0.5177603384748085,0.8065845987661198,0.6628369298690979,0.869792002042034,0.7373838141015343,0.9055860899204136
13,0.37413295251557166,0.7132398319880799,0.47333784286848823,0.7479578866051806,0.5690003114276002,0.7989111112535594,0.7136867650604026,0.8585455679863501,0.7860239421958438,0.8956046120865817
14,0.4251102244890117,0.7132561287595542,0.5243012952588164,0.7459882727619269,0.6158573158215507,0.791893999090129,0.7645064772841101,0.8458646716745415,0.8339917300819901,0.8856266317604795
15,0.47609131483103706,0.7131953468752865,0.5752321578055661,0.7429785459255759,0.6681451070603435,0.7829323519568996,0.8139057318732693,0.8327046966722134,0.8827596454498583,0.8748563217546217
16,0.527071151001466,0.7131155979651784,0.6261724799542769,0.7389704870636526,0.715815364642901,0.7743001039079404,0.8661302880567906,0.8193672420589723,0.9320112042332023,0.8645369333721972
17,0.5780482046373405,0.7123152209256759,0.6754972282386346,0.7338037609628546,0.7652680779226899,0.7649840348482357,0.9169634953192054,0.8071230774700937,0.982709820570312,0.8544827606771243
18,0.628999773709478,0.7103582570285234,0.7279740962082623,0.7269061819053253,0.8153662619928228,0.748825471171084,0.9677904621893445,0.7947254960763748,1.0354383102723461,0.844915889597001
19,0.6799413551074031,0.7067485603600285,0.7788725813251115,0.7169627962764551,0.8556445899200007,0.7358341833888906,1.021679269351644,0.7799216911438355,1.0868846447138085,0.8343042320231207
20,0.7308527246794193,0.70155643135041,0.8296655247709133,0.7027990702025503,0.9012108543365229,0.7202628724449883,1.0607775379140876,0.7677046841713141,1.1171940571300791,0.8302242913098352
21,0.7817487344575913,0.6939492510018876,0.8754276738848603,0.6800260018939827,0.9135897711856691,0.7108903537578684,1.1049377646676564,0.7562914911512086,1.1625438181592889,0.8247089128284392
22,0.8325713218823778,0.676327795607744,0.9152471807700673,0.659182278395612,0.9436315933729809,0.6881446205667517,1.1263292629531934,0.7507628669372892,1.2122687729200712,0.8166028803016167
23,0.8595401748548627,0.6668627102273494,0.9411278031105024,0.6342389096537984,0.9764204716272633,0.6705938761715142,1.1660829143806775,0.7406419088689997,1.2613210773861903,0.8082925186861792
24,0.8765118415444437,0.6571028989836687,0.9571710663137911,0.6145664016628292,1.0145001447813202,0.6470204748401494,1.2186653059676005,0.7278436147598635,1.3097233938236807,0.8006921881043056
25,0.9170435871235707,0.6222588074203588,0.9719367087121915,0.5928437830769735,1.0459033716471398,0.6275801590839367,1.2686760591492907,0.7178713785870021,1.359463980991372,0.7938385743902644
26,0.9308873606220531,0.6103586292375116,0.9860375130701069,0.5680428060905421,1.0651788438012553,0.611656009321933,1.3224231703074585,0.7087249887782513,1.4098654906295547,0.7869272956055484
27,0.9510524353126646,0.55832991737479,1.0029433165944017,0.5456829107584793,1.0808584006266224,0.5988421395829915,1.3712743885005647,0.70123657168132,1.4612770391885206,0.781190844516932
28,0.9673380072345574,0.5371793054028916,1.029052450708838,0.5106120584520102,1.1135118130996347,0.5845927639037152,1.422177115967086,0.6946961198221123,1.511454586148696,0.7750946104360436
29,0.9750532060273573,0.49640457352373113,1.0551532379297681,0.48116027072583023,1.1605739025708406,0.5733677575283379,1.4731082374723432,0.6898133776078279,1.564408474938119,0.7687239661247591
30,0.9805451656325768,0.4695734323260306,1.0694592274409,0.46501757883196626,1.2070624923094337,0.5622795393454768,1.5212995018009126,0.6857513282442587,1.611855838016246,0.7627815552618386
31,1.004730532704297,0.4357632144948139,1.0947072394243225,0.437803396208319,1.2579871347743787,0.5581212132449838,1.574963024847389,0.680744882305641,1.6666949761766219,0.7560734654686837
32,1.0065273423950367,0.430499270198719,1.1430274193593855,0.44325397775581554,1.3089304933385337,0.5558685280611202,1.625866026928406,0.6752502373592885,1.715367450454532,0.7490311840823364
33,1.016772525111083,0.395445004762338,1.1926591972568577,0.42857146094124265,1.3610776276912349,0.5551042036621938,1.6793363702806001,0.6697488944650849,1.7659739572046556,0.7416268475050876
34,1.0173301945546271,0.39261157462696095,1.243752977709523,0.43722240143084246,1.4107506307112057,0.5562141801857052,1.727712357954141,0.665259103168913,1.816375335829908,0.7359779603369311
35,1.0256859406854177,0.35044193451948324,1.2923409921836317,0.4465461409565358,1.461198696206485,0.5577972021671741,1.7781692807330742,0.6600783520420537,1.8690024174265785,0.7307840630769622
36,1.0734569630854507,0.3261664233907263,1.3459715425491399,0.45794296426632364,1.510982065709324,0.5595327066997415,1.8295134283642127,0.6527281971343131,1.9191433306295147,0.7253089213071469
37,1.1217805958837321,0.33886046300930533,1.3952641578729428,0.46842751452067455,1.563916589043962,0.5615613162702051,1.8803831995524039,0.6448698235975443,1.9701485548436877,0.7181352661950174
