name,4330M(180-200KSI),4330M(180-200KSI),15-5 PH ( 150-170 KSI),15-5 PH ( 150-170 KSI),15-5_PH(180-200KSI),15-5_PH(180-200KSI),17-4_PH(180-200KSI),17-4_PH(180-200KSI),4130(150-170_KSI),4130(150-170_KSI),301(FH),301(FH),4130(180-200 KSI),4130(180-200 KSI),4330_M(220-240KSI),4330_M(220-240KSI),4340M(275-300KSI),4340M(275-300KSI),4340(260-280KSI),4340(260-280KSI)
axis,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$
0,0.051351351,328.08609718370485,0.0594594594594594,328.9027431922649,0.059459459,328.96396619848986,0.040540541,281.13406818740134,0.078378378,268.3333333000002,-0.0233918128654972,144.210526315789,-0.018421052631579,106.31578947368395,0.027027027,80.00000000000001,0.016216216,57.222222219999985,0.024324324,46.6532178980475
1,0.052733814544544545,328.1693560729058,0.06080945810675534,328.88682565211184,0.06080404683183183,329.0005529859807,0.04190136127927928,282.4073638632107,0.07854881871171171,268.3316649651654,-0.023330347891751525,144.210526315789,-0.018181924614673207,106.31578947368395,0.02839866891191191,80.00000000000001,0.01763114444244244,57.222222219999985,0.025736547034034035,46.64095819694818
2,0.054116278089089094,328.2466659503076,0.062159456754051275,328.87092451415134,0.06214863466366366,329.04406199625754,0.04326218155855856,283.47984234458386,0.07871925942342342,268.3299966303305,-0.02326888291800585,144.210526315789,-0.017942796597767412,106.31578947368395,0.029770310823823823,80.00000000000001,0.019046072884884885,57.222222219999985,0.027148770068068068,46.628911811135616
3,0.055498741633633636,328.31818432717483,0.06350945540134721,328.85504964814857,0.0634932224954955,329.0932646993491,0.044623001837837836,284.3565006981486,0.07888970013513513,268.3283282954957,-0.023207417944260175,144.210526315789,-0.01770366858086162,106.31578947368395,0.031141952735735733,80.00000000000001,0.020461001327327324,57.222222219999985,0.028560993102102104,46.61705419977246
4,0.056881205178178185,328.38406871477224,0.06485945404864314,328.83921092386845,0.06483781032732733,329.1469325652839,0.045983822117117115,285.04233599053254,0.07906014084684684,268.32665996066083,-0.023145952970514496,144.210526315789,-0.017464540563955827,106.31578947368395,0.032513594647647644,80.00000000000001,0.02187592976976977,57.22222221999999,0.029973216136136138,46.60536082202139
5,0.058263668722722727,328.44447662436454,0.06620945269593909,328.8234182110761,0.06618239815915916,329.20383706409046,0.047344642396396394,285.5423452883636,0.07923058155855855,268.32499162582604,-0.02308448799676882,144.210526315789,-0.017225412547050033,106.31578947368395,0.03388523655955956,80.00000000000001,0.02329085821221221,57.22222221999999,0.03138543917017017,46.593807137045076
6,0.05964613226726727,328.4995655672164,0.06755945134323502,328.8076813795365,0.067526985990991,329.2627496657974,0.04870546267567567,285.86152565826944,0.07940102227027027,268.3233232909912,-0.023023023023023146,144.210526315789,-0.01698628453014424,106.31578947368395,0.03525687847147147,80.00000000000001,0.024705786654654654,57.22222221999999,0.03279766220420421,46.58236860400619
7,0.06102859581181182,328.5494930545926,0.06890944999053096,328.79201029901475,0.06887157382282283,329.3224418404332,0.05006628295495495,286.0048741668778,0.07957146298198198,268.32165495615635,-0.02296155804927747,144.210526315789,-0.016747156513238444,106.31578947368395,0.03662852038338338,80.00000000000001,0.026120715097097097,57.22222221999999,0.034209885238238244,46.5710206820674
8,0.06241105935635636,328.59441659775774,0.07025944863782689,328.77641483927584,0.07021616165465466,329.3816850580265,0.05142710323423423,285.9773878808165,0.07974190369369369,268.3199866213215,-0.022900093075531796,144.210526315789,-0.01650802849633265,106.31578947368395,0.03800016229529529,80.00000000000001,0.02753564353953954,57.22222221999999,0.035622108272272274,46.55973883039138
