name,p/b =1,p/b =1,p/b =2/3,p/b =2/3,p/b =1/3,p/b =1/3,p/b =1/6,p/b =1/6,p/b =1/12,p/b =1/12
axis,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta
0,0.054799769,1.0010717813390742,0.009090909,1.0072372815896518,0.021955403,1.0063959338780273,0.013636364,1.0115975550541916,0.013859961,0.9967120284596621
1,0.078083803,1.003322147775883,0.009090909,1.0079797381437967,0.045454545,0.9997497626770898,0.024114188,0.9956192196387335,0.020228375,0.9797928925872287
2,0.101830434,1.0030476089061022,0.031818182,1.0071424077177875,0.059090909,0.9931063851662135,0.031669934,0.9814658353943027,0.028791554,0.9651790242833477
3,0.127304092,1.000959470869551,0.054545455,1.0048828679978214,0.068181818,0.9862285737130269,0.045702034,0.9685050723354921,0.034368415,0.9516199378757383
4,0.168752757,0.9976249601052161,0.073766234,1.00135684479128,0.077272727,0.9789619247902885,0.052178388,0.9562416313345676,0.036527199,0.9382304105872546
5,0.191959691,0.993486956134704,0.099671649,0.9967166998390237,0.090909091,0.9712204894231543,0.059734134,0.9443000333463191,0.038650004,0.9244291940894395
6,0.216246018,0.9888820439401828,0.125577064,0.9911100862310187,0.098438058,0.9629738082298238,0.069808462,0.9324086183443763,0.043739502,0.9098836662949642
7,0.238142262,0.9840569544833501,0.149323695,0.9846787656668882,0.109090909,0.9542352877606842,0.078083803,0.920384716282288,0.047501021,0.8944601578420598
8,0.261310647,0.9791834619119731,0.173286204,0.9775575818029884,0.116479329,0.9450518548410669,0.085039887,0.9081209523926601,0.05,0.8781796877240441
9,0.28748591,0.9743718060005445,0.196816957,0.9698735839276041,0.137005924,0.9354948256227341,0.086363636,0.8955726491376507,0.052374641,0.8611788425170508
10,0.311232541,0.9696827083715942,0.222542473,0.9617452952058632,0.15,0.9256519260492121,0.091576207,0.8827462871241176,0.054768929,0.8436755336590651
11,0.335653792,0.9651380510442031,0.241997235,0.9532821197359627,0.153881129,0.9156204004400861,0.095454545,0.8696889872967191,0.061892918,0.8259393672333719
12,0.357376562,0.9607302858562602,0.262875766,0.9445838826583093,0.168181818,0.9055011448993758,0.104468948,0.8564789767222594,0.063979744,0.8082663607095208
13,0.381465,0.9564306433070058,0.284247733,0.9357404975591652,0.176365313,0.8953938022531056,0.110073066,0.8432170002785822,0.068369272,0.7909577410949151
14,0.40422634,0.9521962093664047,0.310872744,0.9268317554104002,0.19840764,0.8853927552211883,0.113636364,0.8300186405613034,0.078083803,0.7743025589501265
15,0.418452177,0.9479759387978921,0.33528757,0.9179272292869456,0.212198297,0.8755839545287363,0.123109882,0.8170075083216851,0.083120967,0.7585638527210457
16,0.429965695,0.943715673541035,0.35,0.9090862891035465,0.218181818,0.8660425186619195,0.129894634,0.804309265748945,0.097512864,0.7439680978409693
17,0.443350159,0.9393622347006514,0.378334763,0.9003582206124102,0.2204366,0.8568310419734844,0.137180532,0.7920464449102982,0.110465572,0.7306976750557324
18,0.460777439,0.9348666566889323,0.39974271,0.8917824429033469,0.245454545,0.8479985478430518,0.154720657,0.7803340236620309,0.125577064,0.718886092424988
19,0.476379564,0.9301866320671073,0.421090691,0.8833888186479993,0.259113313,0.8395800235973092,0.171990934,0.769275721344901,0.147164911,0.7086156954527423
20,0.480157437,0.925288235633198,0.44183901,0.8751980513297607,0.268181818,0.8315964738952153,0.192499387,0.7589609765771619,0.170911541,0.6999175998002507
21,0.501371647,0.920146996302402,0.481776525,0.8672221637009735,0.275792494,0.8240554292833318,0.216246018,0.7494625694585109,0.194658172,0.692773581034374
22,0.525284338,0.91474838532665,0.507921806,0.8594650517090099,0.290909091,0.8169518466264001,0.239992649,0.7408348504982525,0.218404803,0.6871196558645116
23,0.548698848,0.9090877893998803,0.531428571,0.8519231081328292,0.300618517,0.8102693381182791,0.26373928,0.7331125385809807,0.242151433,0.6828510893212034
24,0.570950936,0.9031700371955701,0.556038716,0.8445859101716093,0.31602984,0.8039816655783601,0.286622396,0.7263100502830737,0.265898064,0.6798285623295149
25,0.597734099,0.897008559858374,0.578490076,0.8374369764388228,0.337137956,0.7980544474352127,0.311232541,0.7204213325584621,0.289644695,0.6778852432633888
26,0.614661711,0.8907950150822657,0.603819815,0.8304211100757773,0.355978258,0.7921845896572123,0.334979172,0.7149325861082256,0.313391326,0.6762199435239181
27,0.635050233,0.8843800041369606,0.624472188,0.8235486631517838,0.37869456,0.7869301355298348,0.358725802,0.7105049665888165,0.337137956,0.6754428137547577
28,0.659959286,0.8777757234942702,0.627957083,0.8168267984271402,0.397152169,0.7818769844612493,0.382472433,0.7070619279148223,0.360021073,0.6753327043005919
29,0.683539856,0.8709835199757897,0.65232051,0.8101477222809909,0.418740015,0.7769192342805965,0.406219064,0.7045253878992725,0.384631218,0.6756115533587111
30,0.707729315,0.8638624008063666,0.677561684,0.8035902928140798,0.442088101,0.7720205210048184,0.429965695,0.7028717088631815,0.408377849,0.6761576234749699
31,0.740522281,0.8567040261661523,0.702932016,0.7970039002774718,0.466305236,0.7672930360329069,0.453712325,0.7017679218661481,0.432124479,0.6767723996835333
32,0.762418525,0.8495940126948839,0.72159787,0.7904244887354629,0.476163685,0.7624992481758809,0.478289258,0.7011396244261351,0.45587111,0.6760325181796714
33,0.80235604,0.8422627670796885,0.746073441,0.7837213431010435,0.499766397,0.7578195506652285,0.501205587,0.7006457907220865,0.479617741,0.6765989880716325
34,0.813689659,0.8352740241287782,0.772133056,0.776978857536023,0.523764886,0.7531278970278874,0.524952218,0.6992663076013107,0.503364371,0.6767470322338478
