name,K<sub>tg</sub>   e/c=1,K<sub>tg</sub>   e/c=1,K<sub>tg</sub>   e/c=2,K<sub>tg</sub>   e/c=2,K<sub>tg</sub>   e/c=4,K<sub>tg</sub>   e/c=4,K<sub>tg</sub>   e/c=infty,K<sub>tg</sub>   e/c=infty,K<sub>tn</sub>   e/c=1,K<sub>tn</sub>   e/c=1,K<sub>tn</sub>   e/c=2,K<sub>tn</sub>   e/c=2,K<sub>tn</sub>   e/c=infty,K<sub>tn</sub>   e/c=infty
axis,r/c,K<sub>t</sub>,r/c,K<sub>t</sub>,r/c,K<sub>t</sub>,r/c,K<sub>t</sub>,r/c,K<sub>t</sub>,r/c,K<sub>t</sub>,r/c,K<sub>t</sub>
0,0.00349019370515087,2.9948434174245047,0.230014950182761,3.1843283897975416,0.248822092433064,3.198051352745394,0.00434296559465881,2.997111380902159,0.00381998909170649,2.993691711488627,0.00381998909170649,2.9908822078159023,0.00381998909170649,2.987719151335842
1,0.00674438831229695,2.995321659663002,0.239328277366897,3.2034605236374922,0.253220698377538,3.2064544276679166,0.01075590778538,2.996861260022922,0.00974132228083198,2.9724870472454414,0.00974132228083198,2.970584780800143,0.00974132228083198,2.968323331700127
2,0.0171682262299409,2.997175922226065,0.249387036656844,3.2244005301476255,0.26240099436668,3.2242217859446094,0.0166344381268745,2.996798391506024,0.015664374237155,2.9518504556230534,0.015664374237155,2.9507455249559156,0.015664374237155,2.9492889436820433
3,0.0230473803175958,2.998449417288106,0.256726241895797,3.239955244809316,0.267852986292137,3.2349594470877046,0.0225110972298878,2.996894140245063,0.0215832401636904,2.9317871847984374,0.0215832401636904,2.9313740135513218,0.0215832401636904,2.9306282939364237
4,0.0289259106590903,2.9998959624341763,0.265029035153222,3.2579223931618095,0.274244201324937,3.2477630452615607,0.0287982583121598,2.9971717508209634,0.0275037694133202,2.9122623169774227,0.0275037694133202,2.912441008269286,0.0275037694133202,2.912316332532043
5,0.0348044410005848,3.0015228761022255,0.270301021659351,3.269573501339315,0.286481927729663,3.2730605034061746,0.0342698212359713,2.9975605098706186,0.0334230511706292,2.8932710149632737,0.0334230511706292,2.8939461746775192,0.0334230511706292,2.8943557859334543
6,0.0399156051530327,3.0030896163937597,0.281318160984352,3.294639117170525,0.291805462598636,3.284436532947228,0.0401483515774658,2.998130701093664,0.0393379667048152,2.8748082917164854,0.0393379667048152,2.875889074777174,0.0393379667048152,2.876749379704263
7,0.0465409180602798,3.005339328253848,0.286941323707329,3.3078557332157703,0.300731436486635,3.304088709353058,0.0436039399587874,2.998539613718854,0.0452539218159352,2.856842837446097,0.0452539218159352,2.8582433970237857,0.0452539218159352,2.8594745560658357
8,0.0525858962197693,3.0076156583222877,0.295316685672212,3.328138353676618,0.305278333460408,3.3144015206919635,0.0567142872419485,3.0005881682550757,0.0511687680449923,2.8393674045007655,0.0511687680449923,2.8410062062014143,0.0511687680449923,2.842531467807089
9,0.0598844424497466,3.0106601004723292,0.303333943415539,3.3482865123684213,0.317544749878342,3.34334265509022,0.0617922393865369,3.0015935588895957,0.0570843766304676,2.8223628890450945,0.0570843766304676,2.824162786540755,0.0570843766304676,2.825908671719972
10,0.06897020624302,3.014922682750117,0.316442916146976,3.382944390355279,0.321314373659899,3.352587680822001,0.0773253276449969,3.005408201993567,0.0629997079954272,2.805819038302591,0.0629997079954272,2.807707030687267,0.0629997079954272,2.809603136336858
11,0.0788465336420683,3.0201804921131403,0.323313060423004,3.4020326555979024,0.331058559279776,3.3773088469624355,0.0860896819723159,3.0080560969684633,0.0689113384665017,2.7897319120124706,0.0689113384665017,2.7916390774847146,0.0689113384665017,2.7936180558009784
12,0.0932118334481737,3.029059643230189,0.330622059406539,3.423090868136436,0.337658342322682,3.394762275136022,0.101910197659384,3.013753550893305,0.0748274599099311,2.7740664771154493,0.0748274599099311,2.7759278444978848,0.0748274599099311,2.777925473980993
13,0.0975900191314432,3.032070382271822,0.337103003789773,3.4424429002251538,0.343450535799804,3.4105764868190827,0.10816040851965,3.016334272864212,0.0807367617286733,2.758839850562813,0.0807367617286733,2.7605943839652385,0.0807367617286733,2.762549416412777
14,0.107713616834766,3.0396030730360306,0.343460732316899,3.462074994553654,0.352138349542726,3.435204314380149,0.111455948256548,3.0177711570623345,0.0866466872935759,2.744019853128392,0.0866466872935759,2.7456101638118646,0.0866466872935759,2.747464314331494
15,0.112732514078988,3.0436422722735195,0.349329501773538,3.4807880732882204,0.358244824453292,3.453191230581837,0.119505070683026,3.0215038068533904,0.0926204505827986,2.7294423268575474,0.0926204505827986,2.730811960864093,0.0926204505827986,2.732507836632251
16,0.123324803062877,3.0528565148184046,0.353777415842066,3.4953600247012795,0.365458458699345,3.4751848561372536,0.123740559580999,3.023596252049237,0.0979361924750519,2.7168009464790686,0.0979361924750519,2.717930857658,0.0979361924750519,2.7194406497578285
17,0.132940200364256,3.0620618966999995,0.362284296995046,3.5241945163233233,0.378068886635902,3.5156440284248225,0.148027075058116,3.03734294638081,0.10491544997602,2.700661260181753,0.10491544997602,2.701418639614831,0.10491544997602,2.7026229330641467
18,0.138691766597253,3.0679651338289022,0.367829496068311,3.5436919448583106,0.383374124950837,3.5334537836878916,0.161961849203107,3.0466158126760075,0.11082163306396,2.6873962629967325,0.11082163306396,2.68779070835593,0.11082163306396,2.6886852590332078
19,0.148335892937228,3.0785538243553385,0.372874444120427,3.5619246241215237,0.388489028280003,3.5510776506097548,0.174440310823478,3.0558114084175108,0.116728647813447,2.67447808974789,0.116728647813447,2.674469082898008,0.116728647813447,2.6750097183640724
