name,R/c = 80,R/c = 80,R/c = 75,R/c = 75,R/c = 70,R/c = 70,R/c = 65,R/c = 65,R/c = 60,R/c = 60,R/c = 55,R/c = 55,R/c = 50,R/c = 50,R/c = 40,R/c = 40,R/c = 30,R/c = 30,R/c = 20,R/c = 20,R/c = 10,R/c = 10
axis,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta
0,0.030000000000000027,1.94876806825243,0.02999999999999997,1.7638346160524343,0.030000000000000027,1.6103503786935371,0.030000000000000027,1.4882563785840872,0.030000000000000027,1.3850390993976185,0.030000000000000027,1.2899564303702218,0.02999999999999997,1.2219826754363228,0.030000000000000027,1.1268347584434406,0.02999999999999997,1.0715959182369859,0.030000000000000027,1.0292683774736062,0.10999999999999993,1.004878805945784
1,0.03343434343434346,1.9499199107035445,0.03565656565656563,1.7658773149724345,0.03646464646464649,1.6135536915971922,0.037676767676767704,1.4899058693265643,0.03787878787878791,1.3861513321945953,0.03808080808080811,1.2919474530529382,0.03868686868686866,1.2229136893335657,0.038686868686868714,1.1258560094541772,0.03868686868686866,1.0692818049000146,0.038686868686868714,1.0282442291282443,0.11787878787878782,1.0045985894181733
2,0.0368686868686869,1.9511065155118954,0.04131313131313129,1.7679384653694976,0.04292929292929296,1.616657555161631,0.04535353535353538,1.491682438214935,0.04575757575757579,1.3873960641951588,0.046161616161616195,1.293979397245859,0.04737373737373735,1.2239879517694985,0.04737373737373741,1.1251349856623754,0.047373737373737346,1.0673068319836527,0.04737373737373741,1.0273764224735469,0.1257575757575757,1.0043683460169217
3,0.040303030303030334,1.9523268507391374,0.04696969696969694,1.7700185817513803,0.04939393939393943,1.6196687840983144,0.053030303030303066,1.493581263179653,0.05363636363636367,1.3887686467928475,0.05424242424242428,1.2960503919083741,0.05606060606060605,1.2251978124779785,0.0560606060606061,1.1246568546152884,0.05606060606060603,1.065651152924505,0.0560606060606061,1.0266551747572095,0.13363636363636358,1.0041844789966352
4,0.04373737373737377,1.9535799016318964,0.052626262626262604,1.7721181872328466,0.0558585858585859,1.6225940844738993,0.060707070707070744,1.4955977014420339,0.06151515151515155,1.390264614749418,0.062323232323232364,1.2981587378659238,0.06474747474747473,1.226535959394897,0.06474747474747479,1.1244072834100138,0.06474747474747472,1.064295504838113,0.06474747474747479,1.026071012363092,0.14151515151515145,1.004043515174982
5,0.0471717171717172,1.95486467062177,0.058282828282828256,1.77423781353567,0.062323232323232364,1.625440053710237,0.06838383838383842,1.497727289514254,0.06939393939393942,1.3918796861948433,0.07040404040404044,1.3003029078100004,0.07343434343434342,1.227995418658179,0.07343434343434348,1.124372438693493,0.07343434343434341,1.063221208518956,0.07343434343434348,1.0256147708112173,0.14939393939393936,1.0039421049326938
6,0.05060606060606064,1.9561801773253262,0.06393939393939391,1.776378000988631,0.06878787878787883,1.6282131805843738,0.0760606060606061,1.4999657431993512,0.07727272727272731,1.3936097626273152,0.07848484848484853,1.302481546298146,0.08212121212121212,1.229569554607783,0.08212121212121218,1.1245389866625124,0.0821212121212121,1.0624101684404494,0.08212121212121218,1.0252775947577721,0.15727272727272723,1.0038770222135656
7,0.05404040404040407,1.9575254585441049,0.06959595959595957,1.7785392985275186,0.07525252525252529,1.6309198452285516,0.08373737373737378,1.5023089575912247,0.0851515151515152,1.3954509289132417,0.08656565656565662,1.3046934697539547,0.09080808080808081,1.2312520697857012,0.09080808080808087,1.1248940930637021,0.09080808080808078,1.0618448727549463,0.09080808080808087,1.0250509379951065,0.1651515151515151,1.0038451645244553
8,0.05747474747474751,1.9588995682646164,0.07525252525252524,1.7807222636951303,0.08171717171717177,1.633566319130207,0.09141414141414146,1.5047530070746349,0.09303030303030307,1.3973994532872493,0.0946464646464647,1.3069376664670709,0.0994949494949495,1.2330370049359598,0.09949494949494955,1.125425423193537,0.09949494949494947,1.0615083932937364,0.09949494949494955,1.0249265634517335,0.17303030303030298,1.0038435529352845
