name,Case 1 - Skin,Case 1 - Skin,Case 2 - Skin,Case 2 - Skin,Case 1 - Stiffener,Case 1 - Stiffener,Case 2 - Stiffener,Case 2 - Stiffener
axis,a (in.),$\sigma_c$,a (in.),$\sigma_c$,a (in.),$\sigma_c$,a (in.),$\sigma_c$
0,0.0,,0.0,,0.0,48.30682440442485,0.0,47.22671468390701
1,0.04522613065326633,108.52234000772202,0.04522613065326633,74.97262362918713,0.04522613065326633,48.307032691779646,0.04522613065326633,47.228977504629505
2,0.09045226130653267,71.6634176246019,0.09045226130653267,53.0839899697333,0.09045226130653267,48.30305835927023,0.09045226130653267,47.22639279480352
3,0.135678391959799,55.96079472859782,0.135678391959799,43.480580407084844,0.135678391959799,48.29506741973401,0.135678391959799,47.2191641564489
4,0.18090452261306533,47.21243719517642,0.18090452261306533,37.837327467953834,0.18090452261306533,48.28322772768604,0.18090452261306533,47.20749776435042
5,0.22613065326633167,41.745155633392635,0.22613065326633167,34.05608520523524,0.22613065326633167,48.26770870771314,0.22613065326633167,47.19160197175763
6,0.271356783919598,38.11718199393892,0.271356783919598,31.3246865788895,0.271356783919598,48.248681092756954,0.271356783919598,47.17168693118982
7,0.31658291457286436,35.628835415478065,0.31658291457286436,29.252811784972106,0.31658291457286436,48.22631667286809,0.31658291457286436,47.14796423134923
8,0.36180904522613067,33.888597183964634,0.36180904522613067,27.62578021857162,0.36180904522613067,48.20078805494231,0.36180904522613067,47.120646551014055
9,0.40703517587939697,32.649725773435854,0.40703517587939697,26.313864370127092,0.40703517587939697,48.17226843387875,0.40703517587939697,47.08994733065522
10,0.45226130653266333,31.73757886106153,0.45226130653266333,25.23292000638911,0.45226130653266333,48.14093137553198,0.45226130653266333,47.0560804623974
11,0.4974874371859297,31.01356696671617,0.4974874371859297,24.32519657922763,0.4974874371859297,48.10695061176467,0.4974874371859297,47.01925999882637
12,0.542713567839196,30.35682943918301,0.542713567839196,23.549141745515364,0.542713567839196,48.07049984784495,0.542713567839196,46.979699881033476
13,0.5879396984924623,29.660759720048638,0.5879396984924623,22.87369070959533,0.5879396984924623,48.03174676911205,0.5879396984924623,46.93761117603921
14,0.6331658291457287,28.898662155712753,0.6331658291457287,22.27604414635815,0.6331658291457287,47.990757553767814,0.6331658291457287,46.89316069552236
15,0.678391959798995,28.110178780927292,0.678391959798995,21.73923390529504,0.678391959798995,47.94751283948434,0.678391959798995,46.84647778379058
16,0.7236180904522613,27.33847917738544,0.7236180904522613,21.24964156493855,0.7236180904522613,47.90199137575915,0.7236180904522613,46.79769032191354
17,0.7688442211055276,26.624861097098584,0.7688442211055276,20.79613333772352,0.7688442211055276,47.8541729601945,0.7688442211055276,46.746924378578875
18,0.8140703517587939,25.986914382645207,0.8140703517587939,20.37129385548514,0.8140703517587939,47.80404442390942,0.8140703517587939,46.69425554402521
19,0.8592964824120604,25.415687331736457,0.8592964824120604,19.971352725578658,0.8592964824120604,47.751601076300545,0.8592964824120604,46.639697276683656
20,0.9045226130653267,24.902264048332086,0.9045226130653267,19.593609282237693,0.9045226130653267,47.69683950851482,0.9045226130653267,46.58325959253675
