name,D/d=2,D/d=2,D/d=1.5,D/d=1.5,D/d=1.3,D/d=1.3,D/d=1.2,D/d=1.2,D/d=1.1,D/d=1.1,D/d=1.05,D/d=1.05,D/d=1.02,D/d=1.02,D/d=1.01,D/d=1.01
axis,r/d,K<sub>t</sub>,r/d,K<sub>t</sub>,r/d,K<sub>t</sub>,r/d,K<sub>t</sub>,r/d,K<sub>t</sub>,r/d,K<sub>t</sub>,r/d,K<sub>t</sub>,r/d,K<sub>t</sub>
0,0.0484801884983992,3.107173677714967,0.00859967478279908,4.7328562483105285,0.0181007413932869,3.49464110767743,0.00336464888759786,4.550336280654721,0.000493667647946692,4.623641347228275,0.00291108791689584,3.3382870684006343,0.00230913365907334,2.6924054656525884,0.00282629575717928,2.2866063736231195
1,0.048730074614737946,3.1021244882585104,0.00889062209749666,4.694218150687616,0.018382992697822915,3.4771579794347605,0.0036612708865672743,4.499414525165759,0.0007934533305359756,4.5367308185764355,0.0030122233254050255,3.322788025721826,0.002405824120299435,2.675483330336574,0.0029223877300767974,2.269015706796851
2,0.048979960731076695,3.097103997708274,0.00918156941219424,4.6564959365083345,0.01866524400235893,3.4599479168549454,0.003957892885536689,4.449902071795455,0.0010932390131252593,4.452932095089796,0.0031133587339142108,3.307414350229604,0.00250251458152553,2.6589443831218573,0.0030184797029743147,2.251844788266305
3,0.04922984684741545,3.0921120690173165,0.00947251672689182,4.619665659966055,0.018947495306894945,3.443006418942922,0.004254514884506104,4.401755954174482,0.001393024695714543,4.372149450092135,0.003214494142423396,3.2921661640685476,0.0025992050427516254,2.6427806240616656,0.003114571675871832,2.235086529067782
4,0.0494797329637542,3.087148561566009,0.009763464041589398,4.583703861256378,0.01922974661143096,3.4263290452907476,0.004551136883475518,4.354934210394841,0.0016928103783038265,4.294289174029179,0.0033156295509325817,3.277043569581944,0.0026958955039777205,2.626984147718144,0.003210663648769349,2.2187338741839073
5,0.04972961908009295,3.0822133312491977,0.010054411356286978,4.54858756140726,0.019511997915966976,3.409911415581504,0.004847758882444933,4.309395871096925,0.00199259606089311,4.219259553281292,0.003416764959441767,3.262046649466372,0.0027925859652038155,2.6115471429111365,0.003306755621666866,2.202779803286765
6,0.0499795051964317,3.077306230563376,0.010345358670984559,4.5142942571091424,0.01979424922050299,3.393749209093207,0.005144380881414347,4.2651009475565855,0.0022923817434823937,4.146970848976167,0.0035179003679509523,3.2471754669262882,0.0028892764264299106,2.596461892466966,0.0034028475945643835,2.1872173314810337
7,0.050229391312770454,3.0724271086938497,0.010636305985682137,4.480801915545088,0.020076500525039006,3.377838164202712,0.005441002880383762,4.222010419772205,0.0025921674260716773,4.0773352758015085,0.0036190357764601376,3.2324300658286105,0.0029859668876560056,2.58172077296721,0.0034989395674619008,2.1720395100471177
8,0.0504792774291092,3.0675758116019063,0.010927253300379717,4.4480889692209065,0.02035875182957502,3.3621740778896214,0.005737624879353176,4.180086224551755,0.002891953108660961,4.010266980817722,0.003720171184969323,3.2178104708573048,0.003082657348882101,2.567316254497487,0.003595031540359418,2.1572394271842836
9,0.05072916354544795,3.0627521821119816,0.011218200615077296,4.416134310795287,0.020641003134111036,3.3467528052401923,0.006034246878322591,4.13929124359987,0.0031917387912502445,3.9456820222706046,0.0038213065934785085,3.2033166876679697,0.003179347810108196,2.5532409003962298,0.0036911235132569354,2.1428102087537946
10,0.0509790496617867,3.0579560599988276,0.011509147929774876,4.384917287909929,0.02092325443864705,3.331570258951242,0.0063308688772920054,4.099589291604912,0.003491524473839528,3.8834983484040313,0.003922442001987694,3.1889487030424197,0.003276038271334291,2.5394873670034666,0.0037872154861544527,2.128745019022043
11,0.051228935778125456,3.0531872820746813,0.011800095244472456,4.354417698019676,0.021205505743183067,3.3166224088340557,0.00662749087626142,4.0609451043260325,0.0037913101564288117,3.823635776272641,0.004023577410496879,3.1747064850432727,0.0033727287325603867,2.5260484034096033,0.00388330745905197,2.115037061403686
12,0.051478821894464205,3.048445682276431,0.012091042559170035,4.324615783222637,0.021487757047719082,3.3019052813182954,0.006924112875230835,4.023324326680246,0.004091095839018095,3.7660159705545277,0.004124712819006064,3.160589983168533,0.0034694191937864813,2.5129168512042,0.003979399431949487,2.101679579204779
13,0.051728708010802954,3.0437310917527847,0.012381989873867615,4.295492225090328,0.021770008352255097,3.2874149589559036,0.00722073487420025,3.986693500829495,0.004390881521607379,3.710562422363927,0.00422584822751525,3.1465991285061783,0.0035661096550125768,2.500085644224751,0.0040754914048470045,2.08866585636591
14,0.0519785941271417,3.039043338951439,0.012672937188565193,4.2670281394978,0.022052259656791112,3.273147579925013,0.007517356873169664,3.951020054267712,0.004690667204196662,3.657200428063903,0.004326983636024435,3.1327338338887425,0.003662800116238672,2.4875478083054654,0.004171583377744521,2.0759892182053337
15,0.05222848024348046,3.0343822497062436,0.012963884503262774,4.239205071453763,0.022334510961327127,3.259099337533852,0.007813978872139079,3.9162722879078915,0.004990452886785945,3.605857068079038,0.00442811904453362,3.118993994047903,0.003759490577464767,2.475296461026046,0.004267675350642038,2.063643032162106
16,0.05247836635981921,3.0297476473243736,0.013254831817960354,4.212004989930724,0.022616762265863143,3.2452664797246524,0.008110600871108493,3.882419364169155,0.005290238569375229,3.5564611857081205,0.0045292544530428054,3.1053794857690624,0.0038561810386908623,2.4633248114604687,0.0043637673235395556,2.051620708539219
