name,TI-6AL-4V MILL ANNEAL,TI-6AL-4V MILL ANNEAL,TI-6AL-4V DUPLEX ANNEAL,TI-6AL-4V DUPLEX ANNEAL
axis,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$,thickness (in),$K_c \text{ ksi}\sqrt{\text{in}}$
0,0.0175514403292179,149.41225377855056,0.006687243,159.9691088117184
1,0.01865288127633785,149.40533094016064,0.007859248338338337,159.93452736786833
2,0.019754322223457806,149.3991544331724,0.009031253676676676,159.90241043804028
3,0.020855763170577756,149.39368940640693,0.010203259015015015,159.87266568280617
4,0.02195720411769771,149.38890138480656,0.011375264353353353,159.84520235725796
5,0.02305864506481766,149.3847562681628,0.012547269691691692,159.8199312983897
6,0.024160086011937615,149.38122032984387,0.01371927503003003,159.79676491247986
7,0.025261526959057565,149.37826021552274,0.014891280368368367,159.7756171624733
8,0.026362967906177516,149.37584294190478,0.016063285706706707,159.75640355536353
9,0.02746440885329747,149.37393589545553,0.017235291045045044,159.73904112957476
10,0.028565849800417424,149.37250683112853,0.018407296383383384,159.7234484423441
11,0.029667290747537375,149.3715238710931,0.01957930172172172,159.70954555710375
12,0.030768731694657325,149.37095550346208,0.020751307060060058,159.697254030863
13,0.03187017264177728,149.3707705810197,0.021923312398398398,159.68649690159057
14,0.03297161358889723,149.37093831994932,0.023095317736736735,159.6771986755966
15,0.03407305453601718,149.37142829856109,0.024267323075075075,159.66928531491484
16,0.035174495483137135,149.37221045601999,0.025439328413413412,159.66268422468482
17,0.03627593643025709,149.37325509107336,0.02661133375175175,159.65732424053402
18,0.037377377377377036,149.37453286077886,0.02778333909009009,159.65313561595988
19,0.03847881832449699,149.37601477923218,0.028955344428428426,159.65005000971212
20,0.039580259271616944,149.3776722162948,0.030127349766766766,159.64800047317476
21,0.04068170021873689,149.3794768963218,0.031299355105105106,159.64692143774832
22,0.04178314116585685,149.3814008968897,0.032471360443443446,159.646748702232
23,0.0428845821129768,149.38341664752411,0.03364336578178178,159.6474194202057
24,0.043986023060096746,149.3854969284277,0.03481537112012012,159.64887208741226
