name,A357-T6 (UNCHILLED),A357-T6 (UNCHILLED),"7178-T6,T651","7178-T6,T651",A357-T6 (CHILLED),A357-T6 (CHILLED),"7075-T6,T651","7075-T6,T651",7150-T651,7150-T651,"7079-T6,T651","7079-T6,T651","7075-T73,T7351","7075-T73,T7351","7475-T61,T651","7475-T61,T651","7475,T761,T7651","7475,T761,T7651","2024-T3,T351","2024-T3,T351"
axis,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$
18,0.502882236,15.9391528,0.569222184,20.82439711,0.584370906,18.8679703,0.551919064,33.01421709,0.62334417,33.74496579,0.561342132,38.25464603,0.555907613,44.0686108,0.575171042,62.56732496,0.499495366,82.02678441,0.558663691,110.977243
19,0.530316852,15.62472706,0.5966568,20.50997137,0.613911398,18.55063322,0.58362366,32.41739046,0.657154641,33.14522781,0.588834975,37.6636421,0.585506332,43.47469552,0.611203843,61.41151924,0.531374642,80.6002232,0.584458246,108.453103
20,0.555703819,15.03663448,0.628361396,19.91314474,0.637192489,17.96545199,0.608952399,32.10587607,0.680435732,32.56004658,0.618491921,36.79314862,0.621539133,42.31888981,0.645130768,60.25862487,0.561089815,79.45315154,0.608030472,106.4850308
21,0.583138435,14.72220874,0.657901888,19.59580766,0.664685332,17.37444806,0.636445242,31.51487214,0.71430443,31.68373041,0.652360619,35.91683245,0.659619584,41.43675093,0.672681838,59.39104275,0.592969091,78.02659032,0.631660925,104.2403804
22,0.610573051,14.40778301,0.687500607,19.00189238,0.692119948,17.06002232,0.666043961,30.92095686,0.739691397,31.09563783,0.686229317,35.04051628,0.691324179,40.8399243,0.70666699,57.96157019,0.620578388,76.88243001,0.655233151,102.2723082
23,0.638007667,14.09335727,0.721252851,18.67873259,0.736401572,16.72230579,0.695584453,30.60361978,0.779877723,30.21058761,0.713780387,34.17293415,0.723087001,39.96651948,0.738429812,57.08816536,0.652457664,75.4558688,0.67892183,99.75107963
24,0.667548159,13.77602019,0.75085157,18.08481731,0.776471445,16.39041196,0.729394925,30.0038818,0.809476442,29.61667233,0.743379106,33.57901888,0.754849823,39.09311466,0.770250861,55.93818235,0.680008734,74.58828667,0.702552283,97.50642923
25,0.697030424,13.73526129,0.780333835,18.04405842,0.812329565,16.06434082,0.758935417,29.68654471,0.843286913,29.01693435,0.77935368,32.69979135,0.784448542,38.49919938,0.799907807,55.06768887,0.707676258,73.16754816,0.726182736,95.26177883
26,0.734936193,13.682857,0.807768451,17.72963268,0.839764181,15.74991509,0.788534136,29.09262943,0.874991509,28.42010772,0.811174729,31.54980834,0.814047261,37.9052841,0.833834732,53.91479451,0.739555534,71.74098695,0.76273958,91.61676937
27,0.777111941,13.34805182,0.83736717,17.13571741,0.86714057,15.71206754,0.816026979,28.5016255,0.898214372,28.11150468,0.840831675,30.67931486,0.843704207,37.03479063,0.865655781,52.76481149,0.767164831,70.59682663,0.792804115,88.81022854
