name,p/b =1,p/b =1,p/b =2/3,p/b =2/3,p/b =1/3,p/b =1/3,p/b =1/6,p/b =1/6,p/b =1/12,p/b =1/12
axis,a/b,beta,a/b,beta,a/b,beta,a/b,beta,a/b,beta
0,-0.00264469,1.0009652053429747,-0.002644690033854924,1.0009608428948154,-0.00027615103055500523,1.0015618950623173,-0.00033123325295014716,1.003487741238558,-0.0003193541174036918,1.0030884885378075
1,0.03437218,0.9991326478047708,0.03437218000268705,0.9991526636922544,0.03675646073618832,0.9991271068255683,0.03668023839486201,1.0019495532313094,0.036717225703268186,1.0005373121214196
2,0.071395159,0.9977989151264586,0.07139515906465421,0.9978277180409291,0.07378711950334016,0.9976541817420266,0.07379241271446624,0.9973136328883478,0.07373409695814703,0.9994570557493431
3,0.10888428,0.9946628849959355,0.10840664007533829,0.9956295338205922,0.11083777862804833,0.994147163877534,0.11082656271195812,0.9943644900969555,0.11082926251549141,0.9946311218062034
4,0.144237365,0.9922057156307795,0.14698375295474042,0.9913227598736251,0.1479376853954334,0.9895938263361026,0.1479241580924825,0.9903317603263194,0.14794872630463551,0.9888025187039096
5,0.182531903,0.9906327802721914,0.18265976689577101,0.9851015177860342,0.18510083094862806,0.9826113230597867,0.18512272612515224,0.9826999379685598,0.18514324463200538,0.9817983997231077
6,0.219532257,0.988541417410167,0.2198321647251753,0.9778533025445819,0.21734880401951384,0.9723502810606741,0.22239472881392774,0.9713689488533129,0.2224057980084143,0.9719009365646727
7,0.256584526,0.9848277252839684,0.25701705575158007,0.9702651347216725,0.2575505368034756,0.9600373873753197,0.25923611013933867,0.9575801251388056,0.25972720710184916,0.9583443824489293
8,0.293722255,0.9795354138349804,0.2939605812077837,0.9624348677753558,0.28950119714301625,0.947731960560374,0.29475849284925504,0.9421671209628506,0.29477430169883334,0.9418646174155447
9,0.33098801,0.9735239841976788,0.3313979820652113,0.9539954206054604,0.31602708048876416,0.9362822435517855,0.32930710622108694,0.9247688469166747,0.32749195581092594,0.9238131770855599
10,0.362695474,0.967650901491012,0.36865812737954207,0.9444943322210618,0.3457481764454581,0.9245085380406727,0.3596709776196898,0.9044015141790814,0.3566796975116431,0.9051866815463342
11,0.395347768,0.96200104523846,0.403846238932029,0.9337880041115808,0.37023278519531777,0.9096747458897463,0.3846725747998918,0.8803349460258316,0.37744585793618457,0.8861219712362103
12,0.432721935,0.9568340343790922,0.4417933409567414,0.9218416294178394,0.4017202935656681,0.8916123026983341,0.40667345337710037,0.8551579050260579,0.39587580593812244,0.8669064408795519
13,0.469802161,0.9506658433252534,0.47447362685449623,0.9097476150210212,0.4272169192595019,0.8716699291254925,0.4285286272261306,0.8309226046657796,0.41247420908945065,0.8495816697061374
14,0.505420225,0.9432069000842365,0.5125185977971871,0.8981250364332534,0.45185329493289506,0.8507348239416797,0.4422519384189687,0.8099653273742731,0.4225300501174989,0.8331098287394629
15,0.544214401,0.9357547681672241,0.5441708582679554,0.8865369215848508,0.478622596837728,0.8292088083852409,0.45401498363653814,0.7909463700396966,0.4314171630966659,0.8133546972526545
16,0.583554679,0.9278791174857834,0.5780883237533159,0.8746680186340083,0.49755522369868177,0.8075615335046976,0.46594513034505725,0.7738307835921938,0.4409080524376232,0.7909615473082504
17,0.617564143,0.9198783986602083,0.6146224707503039,0.8627203509348798,0.5245908729814364,0.7849950681223924,0.4753374949816047,0.7557728313774275,0.4516982897240691,0.767682201712362
18,0.655587109,0.9118708228412374,0.650776841321747,0.8512056760264123,0.5513978117372706,0.759973720409677,0.48373216680940767,0.7353992014434796,0.4609978075320911,0.7444251085498187
19,0.691105395,0.9041269727767017,0.6813537678429731,0.8402639115481509,0.5819890890362587,0.7347950873417762,0.4931844639587475,0.7143099185811215,0.4671058019695369,0.7193065983193748
20,0.730969498,0.8964965941453804,0.7125610024818951,0.8304006632473434,0.6140555081147541,0.7123274506997255,0.5004389324742753,0.6945016060964138,0.47220000958445363,0.6926166478647104
21,0.765084616,0.8890568561520935,0.750176373675598,0.8213666568950282,0.650162402429793,0.6943756644149223,0.5104403666196524,0.6744271644231008,0.47903270752160276,0.6660052399614035
22,0.803311219,0.8819620276251695,0.7786276777824293,0.8126175305058819,0.6823755132712346,0.680577731271793,0.5200280898139387,0.6545560255059605,0.48596834990777626,0.6404368344801157
23,0.840563745,0.8740630329454719,0.8132571354515319,0.8035611345163921,0.7184250812071309,0.6699249589956803,0.5275891737987866,0.6343788800751526,0.4924481568260768,0.6151661477171101
24,0.877712659,0.8663569705843172,0.8502221433925761,0.794550689596935,0.7568642295872234,0.6610475087782243,0.538685071746938,0.613808810542506,0.49538190733488063,0.5922409274761425
25,0.91491831,0.8585458479254477,0.8861032400504105,0.7871660470128263,0.7936705196431753,0.6548564780383496,0.5539556986040062,0.5912019936077643,0.5002072796889627,0.5704740429698474
26,0.951399247,0.8510042918056206,0.9242642900683109,0.7807925311430266,0.8313532134842152,0.6501185375246953,0.5733447369220634,0.5685642075901881,0.5051777214862341,0.5483377698958463
27,0.989249922,0.8441856447787641,0.9613759554315362,0.7751333456681887,0.8683867657586022,0.6467443123612816,0.5941229517221462,0.5478039902294349,0.5128982156244466,0.5258079863626708
28,1.026880624,0.837607786732272,0.9985442540443785,0.7692687514697347,0.9054491352833258,0.6451308747825237,0.6204300453858658,0.5332530820033763,0.5193906212030013,0.503580461512936
29,1.059813907,0.8308029025901498,1.0356648186940673,0.763394339567203,0.9424446002518001,0.6441068312022772,0.6583866763571824,0.5261015583007558,0.527274308501241,0.4803603412515315
30,1.094745517,0.8251599234018391,1.0728147793071212,0.7572644833512644,0.9794359058671092,0.6427978567291356,0.6953071646259226,0.5257273736952816,0.5369597861818609,0.45460261905187027
31,1.132206498,0.8196473633332164,1.1099267852366403,0.7514641504147377,1.0164447487700063,0.6417245606307012,0.7316505113936767,0.5294888529206365,0.546482094216457,0.42906278043526025
32,1.16943059,0.8136535184253103,1.147094054653443,0.7460205821188675,1.0534210120013112,0.6414875827654711,0.7689673938165205,0.5358910562076268,0.5662822504161582,0.4136536607022511
33,1.206142555,0.8073993815416651,1.1841887527794521,0.7406237419738753,1.0903988435120018,0.6415262155734326,0.8058053985876459,0.5416639997526785,0.6032022871660314,0.41214740051622245
34,1.243294725,0.801399535094972,1.2213108414068268,0.7348462469665901,1.1273825247363232,0.6406791264573097,0.8426041257170342,0.5475427157450614,0.639704845847817,0.422636580018774
35,1.280525438,0.7956525641749198,1.2584884632471447,0.7284076424058143,1.164376971705218,0.6396562389598551,0.8793915136715826,0.5533463578453905,0.6755840431679321,0.43875496901449046
36,1.317561333,0.7900479170305428,1.2956496655037297,0.7214552372555284,1.201398771768022,0.6381676881251882,0.9162064396221705,0.559403380296196,0.7135033004796474,0.4554896546647287
