name,p/b=1/12,p/b=1/12,p/b=1/6,p/b=1/6,p/b=1/3,p/b=1/3,p/b=2/3,p/b=2/3,p/b=1,p/b=1
axis,a/b,L,a/b,L,a/b,L,a/b,L,a/b,L
0,0.00585964581610398,1.0159458212102268,0.00975402935707747,1.0117572527382424,0.00585308194104095,1.0140215560602888,0.00585308194104095,1.0153093289717567,0.00589720576785457,1.0191633711032637
1,0.0209276729216722,1.0321097444962346,0.024799926748184268,1.0221542863088964,0.020891444187344815,1.0155760835996084,0.020906259888071547,1.0137997587667975,0.02097951186713058,1.0145277107423125
2,0.035995700027240424,1.0540524899445887,0.03984582413929107,1.0369843487429042,0.03592980643364868,1.019604510251934,0.035959437835102144,1.0136309013058153,0.03606181796640658,1.0119134472203235
3,0.05106372713280865,1.0804640418659939,0.05489172153039786,1.0554281137510035,0.05096816867995255,1.025921589278696,0.051012615782132745,1.0146686520097685,0.05114412406568259,1.0109516176507989
4,0.06613175423837686,1.1102364040924306,0.06993761892150466,1.076777199573822,0.06600653092625641,1.0343401564956032,0.06606579372916334,1.0167971233386153,0.0662264301649586,1.0113315408509802
5,0.0811997813439451,1.1424408049773753,0.08498351631261147,1.100423074613448,0.08104489317256028,1.0446742292982776,0.08111897167619393,1.0199161341620608,0.08130873626423461,1.012793639568556
6,0.09626780844951333,1.1763068072559508,0.10002941370371826,1.125846752347028,0.09608325541886414,1.056741561294345,0.09617214962322454,1.0239389839030584,0.09639104236351062,1.0151229518797238
7,0.11133583555508153,1.2112032052491777,0.11507531109482505,1.1526092386591715,0.11112161766516801,1.0703657110865492,0.11122532757025513,1.0287904861636559,0.11147334846278663,1.0181432799085426
8,0.12640386266064976,1.2466205970962076,0.13012120848593187,1.1803426955219916,0.12615997991147188,1.0853776793612404,0.12627850551728573,1.0344052382672062,0.12655565456206264,1.0217119270487636
9,0.141471889766218,1.2821555247454992,0.14516710587703865,1.2087422857685959,0.14119834215777574,1.1016171642800725,0.14133168346431632,1.0407261047876395,0.14163796066133866,1.0257149777665329
10,0.1565399168717862,1.3174960793326997,0.16021300326814547,1.2375586645451233,0.1562367044040796,1.1189334812413687,0.15638486141134691,1.0477028946886022,0.15672026676061465,1.0300630768297006
11,0.17160794397735443,1.3524088743219145,0.17525890065925226,1.2665910838854784,0.17127506665038347,1.137186189363027,0.1714380393583775,1.0552912131658714,0.17180257285989065,1.0346876674511716
12,0.18667597108292266,1.386727293390422,0.19030479805035905,1.2956810777292938,0.18631342889668734,1.1562454635329062,0.18649121730540813,1.0634514706785712,0.18688487895916667,1.0395376503538367
13,0.20174399818849087,1.4203409244971197,0.20535069544146586,1.3247066955949889,0.2013517911429912,1.1759922475673767,0.20154439525243872,1.0721480329713042,0.2019671850584427,1.0445764281671248
14,0.2168120252940591,1.4531860958944072,0.22039659283257265,1.353577254023814,0.21639015338929507,1.196318220906364,0.21659757319946932,1.0813484971332141,0.21704949115771868,1.049779301854036
15,0.2318800523996273,1.4852374340242234,0.23544249022367947,1.3822285758252881,0.23142851563559894,1.2171256083461774,0.2316507511464999,1.0910230799140468,0.23213179725699468,1.0551311880464755
16,0.24694807950519554,1.5165003672838915,0.25048838761478626,1.4106186880773273,0.2464668778819028,1.2383268595622863,0.2467039290935305,1.1011441056241935,0.2472141033562707,1.060624628239541
17,0.26201610661076374,1.5470045035586912,0.26553428500589304,1.438723950763615,0.26150524012820664,1.2598442225957596,0.2617571070405611,1.1116855819881595,0.2622964094555467,1.066258062765799
18,0.277084133716332,1.5767978131979805,0.28058018239699983,1.4665355888644136,0.27654360237451053,1.2816092330622784,0.2768102849875917,1.1226228533015012,0.27737871555482274,1.0720343443420894
19,0.2921521608219002,1.6059415527626593,0.2956260797881067,1.494056601653206,0.2915819646208144,1.3035621385845964,0.2918634629346223,1.1339323211625605,0.2924610216540987,1.0779594677575361
20,0.3072201879274684,1.634505868396091,0.31067197717921347,1.521299023888481,0.30662032686711826,1.3256512758413712,0.3069166408816529,1.1455912239147534,0.30754332775337473,1.0840414939556189
21,0.3222882150330367,1.6625660210706905,0.32571787457032025,1.5482815145259379,0.3216586891134221,1.3478324156608978,0.3219698188286835,1.1575774667451675,0.32262563385265075,1.0902896483587476
22,0.3373562421386049,1.6901991792405306,0.34076377196142704,1.575027249509732,0.336697051359726,1.3700680897610988,0.33702299677571407,1.1698694951431161,0.3377079399519267,1.0967135747940224
23,0.3524242692441731,1.7174817275889596,0.35580966935253383,1.6015620961305386,0.3517354136060299,1.3923269110409944,0.35207617472274466,1.1824462051303823,0.35279024605120274,1.1033227278069682
24,0.36749229634974134,1.7444870436015492,0.3708555667436406,1.6279130473617274,0.3667737758523337,1.4145828977577561,0.3671293526697753,1.1952868843353712,0.36787255215047876,1.110125887499107
25,0.38256032345530955,1.77128369662123,0.38590146413474746,1.6541068955013314,0.38181213809863757,1.4368148104715337,0.3821825306168059,1.208371178598445,0.3829548582497548,1.1171307822983287
26,0.39762835056087775,1.7979340268563457,0.40094736152585425,1.6801691253554707,0.39685050034494146,1.4590055093017982,0.3972357085638365,1.2216790793674295,0.3980371643490308,1.1243438062710958
27,0.41269637766644596,1.82449306451607,0.41599325891696104,1.7061230080971348,0.41188886259124535,1.48114133780851,0.4122888865108671,1.2351909276727044,0.41311947044830677,1.1317698187154783
28,0.4277644047720142,1.8510077518433612,0.43103915630806783,1.7319888778215358,0.4269272248375492,1.5032115386835736,0.4273420644578977,1.2488874309623905,0.4282017765475828,1.1394120148366913
29,0.4428324318775824,1.8775164333057812,0.4460850536991746,1.7577835736944847,0.44196558708385303,1.5252077054076056,0.4423952424049283,1.2627496895318635,0.4432840826468588,1.1472718573049165
30,0.4579004589831506,1.90404858159131,0.46113095109028146,1.7835200314523219,0.4570039493301569,1.5471232730889852,0.4574484203519589,1.2767592297000063,0.4583663887461348,1.1553490594314724
31,0.4729684860887189,1.9306247293420666,0.47617684848138825,1.8092070088598264,0.4720423115764608,1.5689530508515186,0.47250159829898947,1.290898041269085,0.4734486948454108,1.163641611576405
32,0.4880365131942871,1.9572565787458944,0.49122274587249504,1.8348489305653377,0.48708067382276465,1.5906927973691485,0.48755477624602006,1.305148617157634,0.4885310009446868,1.172145843220903
33,0.5031045402998553,1.983947263196347,0.5062686432636018,1.86044583860905,0.5021190360690685,1.6123388404563346,0.5026079541930506,1.3194939934179861,0.5036133070439628,1.180856513904037
34,0.5181725674054235,2.010691737227919,0.5213145406547086,1.8859934356404247,0.5171573983153723,1.6338877410065702,0.5176611321400812,1.3339177881437072,0.5186956131432389,1.1897669269375948
