name,p/b =1/12,p/b =1/12,p/b =1/6,p/b =1/6,p/b =1/3,p/b =1/3,p/b =2/3,p/b =2/3,p/b =1,p/b =1
axis,a/b,L,a/b,L,a/b,L,a/b,L,a/b,L
0,0.0190969365821206,1.0012635224722977,0.0190969365821206,1.0027609884993813,0.00830020359660543,1.0034134925738458,0.0118986130023792,1.0041292647247921,0.00830020359660543,1.003252405905732
1,0.0388900957665167,1.0102199089393293,0.0388900957665167,1.007382128463554,0.0280914553283611,1.0035731155946583,0.0316898647341349,1.002163134102513,0.0280914553283611,1.0044786546272724
2,0.0586955156326055,1.008816072622534,0.0586955156326055,1.00783631554909,0.0478843760811771,1.0041515344952197,0.0514841207037989,1.0044683548257538,0.0478851178683149,1.0047095320088906
3,0.0784915518914005,1.007001899014678,0.0784915518914005,1.0083488851444558,0.0676766292255689,1.0053280348335654,0.0712887246040363,1.007487070426058,0.0676870513348558,1.00529802778807
4,0.0983038889225499,1.008325883483404,0.0983038889225499,1.010526628894446,0.0874869077974108,1.0074988924317978,0.0910869862242447,1.0099878600230767,0.087488576818471,1.0067091290445067
5,0.118097421649754,1.013104384947521,0.118097421649754,1.014658178394737,0.107297186369252,1.0110183622014968,0.110886583061301,1.0119663612954883,0.107280162354438,1.0089510189869868
6,0.137894348053114,1.0203814436892586,0.137894348053114,1.0205077332034724,0.127101122661066,1.016089588714401,0.130693523591022,1.013937165568541,0.127075085932526,1.0118467756541059
7,0.157715642163954,1.0290319582727216,0.157715642163954,1.0277539222631276,0.14691841112136,1.022747892753162,0.150498461295472,1.01651109869853,0.146883027874884,1.015191434451002
8,0.177150939389887,1.0382840823304311,0.177150939389887,1.0361914861876675,0.166717674154205,1.0308943535201163,0.170292717265136,1.0201734252385808,0.166689968404606,1.0188299001390388
9,0.198135541179679,1.047871713235579,0.198135541179679,1.0457848369880478,0.186534962614499,1.040350218042288,0.19009031127692,1.0251968479424958,0.186497910346963,1.0226831997641537
10,0.217209328443975,1.0579737122552895,0.217209328443975,1.056638827344333,0.205770082929568,1.0509127574639965,0.209914609625668,1.031638705688456,0.206308856527229,1.026743828520175
11,0.237625199385928,1.0690518880589261,0.237625199385928,1.0689327075104476,0.226220611579531,1.0624010660100307,0.2297412446039,1.0393847732386803,0.226102444888469,1.0310553319721896
12,0.25701828175039,1.0816637183355515,0.25701828175039,1.0828477567476242,0.246058595900972,1.0746862558477528,0.249556530238922,1.0482127959236496,0.245918731936128,1.0356866724970155
13,0.276726524077786,1.0962972611776964,0.276726524077786,1.0985069685791837,0.266298449681011,1.0877048150608752,0.269381746549253,1.0578575985514702,0.264488850828506,1.0407082331265902
14,0.295018780309068,1.1132537597572985,0.295018780309068,1.1159359942610425,0.286291162204665,1.1014568234260382,0.289206795957477,1.0680665249679564,0.285538621471387,1.0461734119077992
15,0.31640166699446,1.132587169118064,0.31640166699446,1.1350478841523501,0.304212663885872,1.1159925003804954,0.310272560264687,1.0786393142768753,0.305340221133716,1.0521075539297928
16,0.336273503117303,1.1540983886220169,0.336273503117303,1.1556496179964477,0.325402188081435,1.1313914119798412,0.328871915963468,1.0894505104908032,0.325157157245121,1.0585043616364633
17,0.355784525892087,1.1773745812225314,0.355784525892087,1.1774656166959472,0.346424751357856,1.1477387910332293,0.348690706542717,1.100455330211595,0.34423502054143,1.0653288280656141
