name,p/b=1/12,p/b=1/12,p/b=1/6,p/b=1/6,p/b=1/3,p/b=1/3,p/b=2/3,p/b=2/3,p/b=1,p/b=1
axis,a/b,L<sub>R</sub>,a/b,L<sub>R</sub>,a/b,L<sub>R</sub>,a/b,L<sub>R</sub>,a/b,L<sub>R</sub>
0,0.0268704739822237,0.012690348386815377,0.0110961900011511,0.01208908642927648,0.0110961900011511,0.012578122102376367,0.027763496143959,0.012050347663308895,0.0222077274296896,0.012306328763891374
1,0.029889111498479972,0.012504356391436593,0.01413753084704245,0.012113349802660505,0.014138606242354893,0.012485346441340769,0.03078382069288731,0.012086140421172861,0.025233152424956898,0.012256689127598362
2,0.03290774901473625,0.01234498451693001,0.017178871692933802,0.012137227372388742,0.017181022483558687,0.012400857855449612,0.03380414524181562,0.012119896922590783,0.028258577420224196,0.012216487760232151
3,0.03592638653099252,0.012210769631336039,0.020220212538825152,0.012160693093159144,0.02022343872476248,0.012324645475815181,0.03682446979074393,0.012152215782113403,0.031284002415491494,0.012185444399564904
4,0.03894502404724879,0.012100301814890878,0.023261553384716502,0.01218372069658258,0.02326585496596627,0.012256699716443253,0.03984479433967224,0.01218367704487899,0.03430942741075879,0.012163288889054975
5,0.04196366156350506,0.01201222359589078,0.026302894230607853,0.012206283829384039,0.026308271207170063,0.012197012222650214,0.04286511888860055,0.01221484241824997,0.03733485240602609,0.012149761016500333
6,0.04498229907976134,0.011945229186556314,0.029344235076499206,0.012228356191603822,0.02935068744837386,0.012145575819480175,0.04588544343752886,0.012246255503449556,0.04036027740129339,0.01214461035269199
7,0.048000936596017604,0.011898063718896621,0.03238557592239055,0.012249911674798743,0.03239310368957765,0.012102384460122084,0.04890576798645717,0.012278442027198378,0.043385702396560685,0.012147596090067419
8,0.05101957411227388,0.011869522480573685,0.035426916768281906,0.012270924500243321,0.035435519930781444,0.012067433174326842,0.05192609253538548,0.012311910073351116,0.04641112739182798,0.012158486881363985
9,0.05403821162853015,0.011858450150766583,0.03846825761417325,0.012291369357130983,0.038477936171985236,0.012040718016824423,0.05494641708431379,0.012347150314533125,0.04943655238709528,0.012177060678272364
10,0.057056849144786426,0.011863740036035759,0.041509598460064606,0.012311221540775255,0.04152035241318903,0.012022236015740985,0.0579667416332421,0.012384636243777072,0.05246197738236258,0.012203104570089971
11,0.06007548666104269,0.011884333306187276,0.04455093930595595,0.012330457090810962,0.04456276865439282,0.012011985121015988,0.06098706618217041,0.012424824406159562,0.05548740237762987,0.01223641462237438
12,0.06309412417729897,0.011919218230137082,0.047592280151847306,0.012349052929395435,0.04760518489559661,0.012009964152819306,0.0640073907310987,0.012468154630437763,0.05851282737289717,0.012276795715596756
