name,D/d=1.05,D/d=1.05,D/d=1.10,D/d=1.10,D/d=1.15,D/d=1.15,D/d=1.3,D/d=1.3,D/d=1.5,D/d=1.5,D/d=2,D/d=2,Semi-circular,Semi-circular
axis,r/d,K<sub>t</sub>,r/d,K<sub>t</sub>,r/d,K<sub>t</sub>,r/d,K<sub>t</sub>,r/d,K<sub>t</sub>,r/d,K<sub>t</sub>,r/d,K<sub>t</sub>
0,0.025258326,2.9687629407285625,0.041757627,2.9972861020970742,0.047966111,2.994392399955826,0.055203528,3.0127320577660015,0.058893681,3.001777617196999,0.062119413,3.0011200036622068,0.003382979,3.0093465812975535
1,0.026593638351758795,2.9211035985153653,0.04299283112562814,2.9570972394147317,0.049168065989949744,2.9596666594928562,0.05636155743718593,2.9826766632704365,0.060028995964824125,2.973885236880423,0.06323240933165829,2.9756375236709967,0.004795683452261307,2.9809815964992192
2,0.02792895070351759,2.87435948415582,0.04422803525125628,2.9176391929684744,0.050370020979899496,2.925522018698336,0.057519586874371864,2.95303442847887,0.06116431092964825,2.94636656456194,0.06434540566331658,2.950454112812441,0.006208387904522613,2.9530071693681132
3,0.029264263055276383,2.8285177539215463,0.04546323937688442,2.8789018261513606,0.05157197596984925,2.8919507738543264,0.05867761631155779,2.9238012169417704,0.06229962589447237,2.9192177024777157,0.06545840199497487,2.9255672288694234,0.00762109235678392,2.9254188131853955
4,0.030599575407035177,2.7835656548226946,0.04669844350251256,2.8408750744244355,0.052773930959798994,2.8589452747496873,0.05983564574874372,2.8949729115418554,0.06343494085929649,2.8924347735180476,0.06657139832663317,2.900974338779633,0.009033796809045227,2.898212069386114
5,0.031934887758793974,2.7394905246079455,0.0479336476281407,2.80354894531673,0.05397588594974874,2.826497924680081,0.06099367518592965,2.866545414494091,0.06457025582412061,2.866013921227372,0.06768439465829146,2.876672918635566,0.010446501261306532,2.871382507559207
6,0.03327020011055277,2.6962797917645123,0.04916885175376884,2.7669135184252642,0.05517784093969849,2.794601180447972,0.06215170462311558,2.8385146473456957,0.06570557078894473,2.839951309804258,0.06879739098994975,2.85266045368452,0.01185920571356784,2.8449257254475
7,0.03460551246231156,2.6539209755181368,0.05040405587939698,2.7309589454150425,0.056379795929648244,2.763247552362624,0.0633097340603015,2.810876550976136,0.06684088575376884,2.814243124101411,0.06991038732160804,2.828934438328601,0.013271910165829145,2.8188373489477088
8,0.035940824814070356,2.6124016858330927,0.051639260005025125,2.6956754500190576,0.05758175091959799,2.7324296042401057,0.06446776349748744,2.783627085597131,0.06797620071859296,2.7888855696256716,0.07102338365326633,2.805492376124717,0.014684614618090452,2.793113032110437
9,0.03727613716582915,2.5717096234121843,0.05287446413065326,2.6610533280382893,0.058783705909547734,2.702139953403286,0.06562579293467337,2.7567622307526456,0.06911151568341709,2.763874872538015,0.07213637998492461,2.7823317797845832,0.01609731907035176,2.7677484571401765
10,0.038611449517587944,2.5318325796967454,0.054109668256281405,2.627082947341703,0.05998566089949749,2.672371270681833,0.0667838223718593,2.730277985318898,0.0702468306482412,2.7392072796535527,0.0732493763165829,2.759450171174719,0.017510023522613067,2.74273933439531
11,0.03994676186934674,2.492758436866643,0.05534487238190955,2.593754747866251,0.06118761588944724,2.643116280412221,0.06794185180904523,2.7041703675043562,0.07138214561306533,2.7148790584415305,0.0743623726482412,2.736845081316449,0.018922727974874372,2.7180814023881075
12,0.04128207422110553,2.4544751678402728,0.056580076507537685,2.561059241616874,0.062389570879396984,2.6143677604377227,0.06909988124623116,2.678435414849736,0.07251746057788945,2.6908864970253292,0.0754753689798995,2.714514050385902,0.02033543242713568,2.6937704277847283
13,0.042617386572864326,2.4169708362745617,0.05781528063316582,2.528987012666498,0.06359152586934673,2.5861185421084123,0.0702579106834171,2.6530691842280048,0.07365277554271357,2.667225904182467,0.07658836531155779,2.6924546277140133,0.021748136879396987,2.6698022054052206
14,0.04395269892462312,2.3802335965649677,0.05905048475879397,2.4975287171560354,0.06479348085929648,2.5583615102811677,0.07141594012060301,2.6280677518443794,0.0747880905075377,2.643893609344594,0.07770136164321607,2.6706643717865215,0.023160841331658293,2.6461725582235216
15,0.04528801127638191,2.3442516938454796,0.06028568888442211,2.4666750832943887,0.06599543584924623,2.531089603319667,0.07257396955778894,2.603427213236327,0.07592340547236182,2.620885962597498,0.07881435797487436,2.6491408502439713,0.0245735457839196,2.622877337367456
16,0.04662332362814071,2.3090134639886157,0.061520893010050245,2.436416911358443,0.06719739083919599,2.5042958130943886,0.07373199899497487,2.5791436832735646,0.07705872043718594,2.598199334681102,0.07992735430653267,2.6278816398817115,0.025986250236180907,2.5999124221187393
17,0.0479586359798995,2.2745073336054267,0.0627560971356784,2.4067450736930716,0.06839934582914572,2.4779731849826163,0.0748900284321608,2.555213296158059,0.07819403540201006,2.5758301169894624,0.08104035063819096,2.6068843266498978,0.027398954688442213,2.577273719912975
18,0.049293948331658295,2.240721820045494,0.06399130126130653,2.377650514711136,0.06960130081909548,2.4521148178684316,0.07604805786934674,2.5316322054240263,0.07932935036683417,2.553774721570773,0.08215334696984924,2.586146505653489,0.02881165914070352,2.554957166339655
19,0.05062926068341709,2.2076455313969277,0.06522650538693467,2.3491242508934835,0.07080325580904523,2.4267138641427204,0.07720608730653267,2.508396583937934,0.0804646653316583,2.5320295811273614,0.08326634330150753,2.565665781152249,0.030224363592964827,2.5329587251421604
