name,p/b = 1,p/b = 1,p/b = 1/12,p/b = 1/12,p/b = 1/3,p/b = 1/3,p/b = 1/6,p/b = 1/6,p/b = 2/3,p/b = 2/3
axis,a/b,L<sub>R</sub>,a/b,L<sub>R</sub>,a/b,L<sub>R</sub>,a/b,L<sub>R</sub>,a/b,L<sub>R</sub>
0,0.006444938638118458,0.0022699580359778304,0.013549386314054057,0.007602042163437614,0.013659300214831804,-0.0009506260018793119,0.004463170516428916,-0.0020960917310836637,0.008896364514463684,-3.0740833426285905e-05
1,0.035827123972884005,0.0030795686757496615,0.04308498089789953,0.015823266531097984,0.04289128411983657,-0.0003539142897751986,0.033848523010871615,0.003508316001768588,0.03813798691894364,0.0002256647448087446
2,0.06520930930764955,0.0041119229551172054,0.072620575481745,0.026390012695135308,0.07212326802484134,0.0005947682889077786,0.06323387550531431,0.011510709950909947,0.0673796093234236,0.0015862286075103787
3,0.09459149464241509,0.005381317939095528,0.10215617006559047,0.0391466713718,0.1013552519298461,0.0017871396153200903,0.09261922799975703,0.021651689438297556,0.09662123172790354,0.00433905465200899
4,0.12397367997718065,0.006663583729619002,0.13169176464943594,0.05302841329040197,0.13058723583485088,0.0037664307122254534,0.12200458049419972,0.033512190185287186,0.12586285413238352,0.008829466210767606
5,0.1533558653119462,0.008419985918340528,0.1612273592332814,0.06721947793832997,0.15981921973985563,0.006336257323137213,0.15138993298864242,0.04649317286236758,0.15510447653686346,0.015435413734147814
6,0.18273805064671172,0.010886358845633682,0.19076295381712688,0.08065040180127578,0.1890512036448604,0.010125172601409368,0.18077528548308514,0.05998077101388361,0.1843460989413434,0.024129341999847974
7,0.21212023598147728,0.01340166168795024,0.22029854840097235,0.09268166947138419,0.21828318754986517,0.015234604658387427,0.21016063797752782,0.07357879590287184,0.21358772134582338,0.0343563878706458
8,0.24150242131624283,0.016202901447422178,0.24983414298481782,0.10350549457038791,0.24751517145486993,0.02118332853720714,0.23954599047197053,0.08681740072272574,0.24282934375030332,0.045914258892841245
9,0.2708846066510084,0.019497975208940428,0.2793697375686633,0.11286192199073797,0.2767471553598747,0.027817939016024296,0.26893134296641324,0.09948582166876677,0.27207096615478327,0.058995565060547046
10,0.30026679198577394,0.023469322026593836,0.30890533215250876,0.1206902136318351,0.30597913926487946,0.03542648995677993,0.29831669546085593,0.11157937170217169,0.30131258855926324,0.07224230153079918
11,0.3296489773205395,0.0284967891649098,0.33844092673635423,0.12793110184410914,0.3352111231698842,0.044130487800427255,0.3277020479552986,0.123544083831022,0.3305542109637432,0.08573577643111094
12,0.359031162655305,0.03423441959302668,0.3679765213201997,0.13520070164607528,0.364443107074889,0.0538632925386094,0.35708740044974135,0.1356324878938896,0.35979583336822313,0.09896473080806224
