name,p/b = 1,p/b = 1,p/b = 2/3,p/b = 2/3,p/b = 1/3,p/b = 1/3,p/b = 1/6,p/b = 1/6,p/b = 1/12,p/b = 1/12
axis,a/b,L<sub>R</sub>,a/b,L<sub>R</sub>,a/b,L<sub>R</sub>,a/b,L<sub>R</sub>,a/b,L<sub>R</sub>
0,0.019068527,-0.00805984954709247,0.013301148,-0.006053372868621933,0.032888704,-0.007536015593123609,0.034021874,-0.00946205286425477,0.025230252999999998,0.024505645929302235
1,0.04827768344444444,-0.007250565941341233,0.04253460850505051,-0.0021268952729453765,0.06206765572727273,0.006787094358637922,0.06321931531313131,0.020701465537857552,0.054682081313131306,0.04783964136918775
2,0.0774868398888889,-0.004998186256709152,0.07176806901010102,0.0037880443194925877,0.09124660745454546,0.023411940363698213,0.09241675662626261,0.04834603132964814,0.08413390962626262,0.06767874801980338
3,0.10669599633333335,-0.0013825639004318782,0.10100152951515153,0.011525994517428424,0.12042555918181819,0.041837832956318224,0.12161419793939393,0.07373510643041149,0.11358573793939393,0.08457747327810523
4,0.1359051527777778,0.003513736803356611,0.13023499002020203,0.020921762307260228,0.1496045109090909,0.06162299657312023,0.15081163925252525,0.09710212555066587,0.14303756625252526,0.09902040667562798
5,0.16511430922222223,0.00960626930769514,0.15946845052525255,0.031811662730473644,0.17878346263636363,0.0823796674410207,0.18000908056565657,0.11865344894702552,0.17248939456565657,0.111428689876811
6,0.1943234656666667,0.016809461440177826,0.18870191103030307,0.04403463389860533,0.20796241436363638,0.10376948258447809,0.20920652187878785,0.13857110199807005,0.20194122287878788,0.12216606943878468
7,0.22353262211111113,0.025037303256154653,0.21793537153535356,0.057433224336625094,0.2371413660909091,0.12549914868914472,0.23840396319191917,0.15701531138175745,0.2313930511919192,0.13154454928149245
8,0.2527417785555556,0.03420396942971342,0.24716883204040407,0.07185445948806911,0.26632031781818183,0.14731637977400247,0.2676014045050505,0.17412684742133527,0.2608448795050505,0.13982965948740253
9,0.281950935,0.044224379393862895,0.27640229254545456,0.0871505940577064,0.2954992695454546,0.16900609283905563,0.2967988458181818,0.19002918195311247,0.2902967078181818,0.14724535772044006
10,0.31116009144444445,0.055014698370793744,0.30563575305050505,0.10317975670997265,0.3246782212727273,0.19038685087064341,0.3259962871313131,0.2048304708558658,0.3197485361313131,0.15397857922414804
11,0.3403692478888889,0.06649278236255024,0.33486921355555554,0.11980649348385565,0.353857173,0.21130754280142916,0.3551937284444444,0.21862537016805972,0.3492003644444444,0.16018345102946316
12,0.3695784043333334,0.07857857010190258,0.3641026740606061,0.13690221612736705,0.3830361247272728,0.23164429023711258,0.3843911697575757,0.23149669450547028,0.3786521927575757,0.16598518567286996
13,0.3987875607777778,0.0911944248926659,0.3933361345656566,0.154345561397187,0.41221507645454547,0.25129757097690464,0.41358861107070705,0.24351692627821214,0.40810402107070703,0.17148366939607365
14,0.42799671722222227,0.10426542919816933,0.42256959507070707,0.17202266721151777,0.4413940281818182,0.27018954956979674,0.44278605238383834,0.2547495839925748,0.43755584938383835,0.1767567594687105
15,0.4572058736666667,0.11771963476603418,0.4518030555757576,0.18982737138663414,0.4705729799090909,0.2882616053636446,0.4719834936969697,0.2652504577094839,0.46700767769696966,0.18186330494599118
16,0.48641503011111115,0.1314882710068774,0.4810365160808081,0.20766133853006855,0.49975193163636367,0.3054720487190833,0.501180935010101,0.27506871951781436,0.49645950601010097,0.18684590484355035
17,0.5156241865555555,0.1455059142740133,0.5102699765858586,0.2254341205058204,0.5289308833636365,0.3217940162752789,0.5303783763232323,0.28424791666718546,0.5259113343232323,0.1917334173821533
18,0.544833343,0.1597106206206832,0.5395034370909092,0.24306315572942896,0.5581098350909092,0.33721353636951445,0.5595758176363635,0.29282685479128406,0.5553631626363636,0.1965432336252874
19,0.5740424994444444,0.17404402454079765,0.5687368975959597,0.26047371239320005,0.5872887868181819,0.35172775592759853,0.588773258949495,0.3008403784391631,0.584814990949495,0.20128332850304462
20,0.6032516558888888,0.18845140612863537,0.5979703581010102,0.27759878056432913,0.6164677385454546,0.3653433203570802,0.6179707002626262,0.3083200559183787,0.6142668192626263,0.20595410188607763
21,0.6324608123333333,0.20288172902239698,0.6272038186060607,0.29437891794111154,0.6456466902727274,0.3780748981902415,0.6471681415757575,0.31529477524023186,0.6437186475757576,0.21055002204378973
22,0.6616699687777777,0.21728765142596987,0.6564372791111112,0.31076205389488326,0.6748256420000001,0.3899438424388324,0.6763655828888888,0.321791257743794,0.6731704758888889,0.21506108349129846
23,0.6908791252222222,0.23162551243271612,0.6856707396161618,0.32670325626778657,0.7040045937272728,0.400976980837505,0.7055630242020201,0.32783449576180074,0.7026223042020202,0.21947409090008485
24,0.7200882816666667,0.2458552958045529,0.7149042001212123,0.342164465238903,0.7331835454545456,0.41120552736789573,0.7347604655151514,0.3334481204779104,0.7320741325151515,0.22377378041762544
25,0.7492974381111112,0.25994057328905024,0.7441376606262627,0.35711419841375225,0.7623624971818183,0.4206641076702934,0.7639579068282828,0.3386547059112297,0.7615259608282828,0.22794378941167415
26,0.7785065945555556,0.27384842948672966,0.7733711211313132,0.3715272311345991,0.791541448909091,0.4293898911648269,0.7931553481414141,0.34347601475041967,0.7909777891414141,0.23196748532524256
27,0.807715751,0.2875493702102009,0.8026045816363637,0.38538425585146824,0.8207204006363636,0.437421822919097,0.8223527894545454,0.3479331915461044,0.8204296174545455,0.23582866399870656
28,0.8369249074444445,0.3010172162062332,0.8318380421414142,0.39867152423621255,0.8498993523636365,0.44479994851416155,0.8515502307676767,0.35204690855670845,0.8498814457676768,0.23951212748583725
29,0.8661340638888889,0.31422898404131233,0.8610715026464648,0.4113804755644343,0.8790783040909091,0.45156482537578807,0.880747672080808,0.3558374693292662,0.8793332740808081,0.24300415106094042
30,0.8953432203333334,0.3271647558806933,0.8903049631515153,0.42350735473250833,0.9082572558181818,0.457757014252868,0.9099451133939394,0.3593248748831495,0.9087851023939394,0.24629284878466245
31,0.9245523767777778,0.3398075398204124,0.9195384236565658,0.43505282311940613,0.9374362075454546,0.4634166447398847,0.9391425547070706,0.36252885715106664,0.9382369307070707,0.24936844666639263
32,0.9537615332222222,0.35214312236118145,0.9487718841616163,0.44602156534547244,0.9666151592727273,0.46858304895531516,0.9683399960202019,0.3654688841181041,0.967688759020202,0.25222347213158064
33,0.9829706896666667,0.3641599145425419,0.9780053446666668,0.45642189482275525,0.995794111,0.47329445770284223,0.9975374373333332,0.3681641408859767,0.9971405873333333,0.2548528681726581
34,1.0121798461111111,0.3758487931851148,1.0072388051717172,0.4662653608339427,1.0249730627272728,0.4775877536572403,1.0267348786464645,0.3706334906760784,1.0265924156464645,0.2572540402326264
