name,p/b =1/12,p/b =1/12,p/b =1/6,p/b =1/6,p/b =1/3,p/b =1/3,p/b =2/3,p/b =2/3,p/b =1,p/b =1
axis,a/b,L,a/b,L,a/b,L,a/b,L,a/b,L
23,1.291200954,1.7881578550000008,1.274534743,1.7488936370000006,1.088895041,1.5859943880000007,1.26082871,1.5148190890000006,1.110011658,1.3342024370000007
24,1.356710115,1.8130516380000008,1.347069259,1.7771998910000009,1.140394041,1.6087005290000007,1.323985948,1.5374160560000008,1.163832168,1.3557274180000007
25,1.468872504,1.839827375000001,1.417191027,1.796253378000001,1.201260181,1.6359566320000007,1.387143186,1.5600130230000007,1.203612104,1.3715867810000006
26,1.571525826,1.845822595000001,1.519945725,1.813841851000001,1.2340249,1.6495628490000007,1.447948501,1.5803131740000007,1.241040118,1.3851493280000007
27,1.711505784,1.8537871080000008,1.627323167,1.826749353000001,1.290187195,1.6722253200000006,1.499386675,1.5960633630000007,1.273804836,1.3987555450000007
28,1.828128716,1.8573326680000009,1.74862967,1.8325698940000008,1.365043221,1.6993504140000006,1.555488145,1.6117698820000006,1.320579715,1.4145494030000008
29,2.005455588,1.8695851250000008,1.869976723,1.843027737000001,1.444542268,1.7241131880000007,1.609237692,1.6251795850000006,1.400099037,1.4416308280000008
30,2.145476097,1.8821869400000009,2.000630091,1.851079589000001,1.514653898,1.7420073480000007,1.662987238,1.6385892880000006,1.446873916,1.4574246860000006
31,2.266802874,1.8903261320000009,2.131324009,1.863768743000001,1.561388227,1.753163905000001,1.714384862,1.6497021760000006,1.502975385,1.4731312050000007
32,2.355486585,1.898771011000001,2.266671086,1.875254902000001,1.687479676,1.772852681000001,1.789139513,1.6652340160000008,1.545066694,1.4866500830000007
33,2.467466497,1.9046788920000008,2.37868141,1.884640759000001,1.752846911,1.7815159090000008,1.868557459,1.6807221870000006,1.596484593,1.5000816210000008
34,2.565415973,1.9060804800000009,2.486018302,1.8929109590000008,1.869550943,1.7943360720000008,1.957301995,1.6961230180000006,1.643239197,1.5135568280000007
35,2.672712314,1.909713379000001,2.630621006,1.8961945020000008,1.97690811,1.8049249230000008,2.0273528,1.7070612270000007,1.689983663,1.5258727110000008
36,2.752008609,1.911289645000001,2.7845503,1.8993907040000009,2.074938687,1.8156011140000008,2.1020669,1.7179557660000007,1.727381263,1.5359572820000007
37,2.84065177,1.915097223000001,2.915183393,1.905123906000001,2.144948942,1.821902021000001,2.181464571,1.7311252860000006,1.769442159,1.5459981830000007
38,2.957264564,1.9174834580000009,2.966489779,,2.247642813,1.8325345430000008,2.260841967,1.7419761560000007,1.830196786,1.5605017070000007
39,2.966591155,,,,2.336326524,1.8409794220000009,2.354229523,1.7550146670000009,1.900288142,1.5760772170000006
40,,,,,2.490357194,1.8557688780000008,2.475617126,1.7701098110000009,1.993736524,1.5960716810000006
41,,,,,2.607020677,1.863951740000001,2.606311045,1.782798965000001,2.059144309,1.6093722100000007
42,,,,,2.672347361,1.867977666000001,2.708984642,1.791112835000001,2.129215389,1.6226290690000007
43,,,,,2.802980454,1.873710868000001,2.797648077,1.7972390640000009,2.199286469,1.6358859290000007
44,,,,,2.938276842,1.8794004000000009,2.881627942,1.8010903120000008,2.264673979,1.6468678070000007
45,,,,,2.966266751,,2.960934375,1.8038259040000009,2.348734945,1.6599936580000008
46,,,,,,,2.970260965,,2.437479481,1.6753944890000008
47,,,,,,,,,2.530867038,1.6884330000000007
48,,,,,,,,,2.619571024,1.6991965300000007
49,,,,,,,,,2.694264849,1.7077724190000008
50,,,,,,,,,2.750285217,1.7142043350000007
51,,,,,,,,,2.815632177,1.7205489120000006
52,,,,,,,,,2.904295612,1.7266751410000007
53,,,,,,,,,2.950958978,1.7297164200000006
54,,,,,,,,,2.974285592,1.7306573969999992
