name,2024-T3_T351 and 7475-T761_T7651,2024-T3_T351 and 7475-T761_T7651,2324-T39,2324-T39,7075-T6_T651,7075-T6_T651,70785-T73_T7351,70785-T73_T7351,7079-T6_ T651,7079-T6_ T651,7150-T651,7150-T651,7178 - T6_ T651,7178 - T6_ T651,7475-T61_T651,7475-T61_T651,A357-T6 _CHILLED_,A357-T6 _CHILLED_,A357-T6 _UNCHILLED_,A357-T6 _UNCHILLED_
axis,t,$K_c \text{ ksi}\sqrt{\text{in}} $,t,$K_c \text{ ksi}\sqrt{\text{in}} $,t,$K_c \text{ ksi}\sqrt{\text{in}} $,t,$K_c \text{ ksi}\sqrt{\text{in}} $,t,$K_c \text{ ksi}\sqrt{\text{in}} $,t,$K_c \text{ ksi}\sqrt{\text{in}} $,t,$K_c \text{ ksi}\sqrt{\text{in}} $,t,$K_c \text{ ksi}\sqrt{\text{in}} $,t,$K_c \text{ ksi}\sqrt{\text{in}} $,t,$K_c \text{ ksi}\sqrt{\text{in}} $
0,0.0004893359649835727,145.05704506700442,-9.527508571594012e-05,153.040011963202,0.0014044018281702542,72.68720705609175,0.0013011439319126072,91.23781598495991,0.0016797107651709275,84.54120562759373,0.003614327619318347,79.46585284634222,0.0005815146878231925,48.80200910898094,0.00013074005201496597,117.38726576032303,-0.0011464670596337267,54.54712754233271,0.0004990117764356317,43.02090828210308
1,0.01191275981826368,145.10159683083572,0.011253437089039081,153.081734086423,0.013085669008891404,72.53885333101032,0.01276206313997237,91.14351285589875,0.013277213885393704,84.46288458646605,0.015252841873874119,79.28102694742849,0.012460677280279681,48.39049338075834,0.011647025284274314,117.45977836145013,0.0107798523919071,54.35734684870426,0.012432062075083978,42.80309059423562
2,0.023336183671543786,145.11457880881142,0.022602149263794103,153.09284441467642,0.024766936189612555,72.38323993760636,0.02422298234803213,91.03354640595875,0.02487471700561648,84.36540029253514,0.02689135612842989,79.08714587930281,0.02433983987273617,47.979401631194655,0.023163310516533663,117.50243097547619,0.022706171843447927,54.12719366320724,0.024365112373732324,42.56120328471866
3,0.03475960752482389,145.09634526321275,0.033950861438549126,153.07361474141942,0.03644820337033371,72.22065851624359,0.03568390155609189,90.90862639279503,0.036472220125839255,84.24946273805426,0.038529870382985665,78.88456672764002,0.03621900246519266,47.568913515112406,0.03467959574879301,117.51575318024791,0.03463249129498876,53.85876111794558,0.036298162672380674,42.296548693257684
4,0.046183031378104,145.0472574046444,0.045299573613304146,153.02432615676088,0.048129470551054855,72.05139516044629,0.047144820764151656,90.76944807228331,0.048069723246062034,84.11576954287229,0.05016838463754143,78.67363992964994,0.04809816505764915,47.159205449895616,0.04619588098105236,117.5002746734638,0.04655881074652958,53.554103084767284,0.04823121297102902,42.010404804860165
5,0.05760645523138411,144.96768339203444,0.056648285788059166,152.9452690474612,0.059810737731776004,71.87573041689926,0.05860573997221142,90.61669219851983,0.05966722636628481,83.96500595443375,0.0618068988920972,78.45470927407723,0.05997732765010563,46.750450615489804,0.05771216621331171,117.4565252726742,0.058485130198070404,53.21523417526432,0.06016426326967736,41.70402524983555
6,0.06902987908466421,144.85799833263428,0.06799699796281419,152.83674309693248,0.07149200491249716,71.69393928544788,0.07006665918027118,90.45102502382132,0.07126472948650758,83.79784484777878,0.07344541314665298,78.22811190120157,0.07185649024256213,46.34281895440197,0.06922845144557105,117.3850349152812,0.07041144964961124,52.84412974077268,0.07209731356832572,41.37863930379526
7,0.08045330293794432,144.71858428201872,0.0793457101375692,152.6990572852383,0.0831732720932183,71.50629121909802,0.08152757838833094,90.27309829872509,0.08286223260673037,83.61494672554316,0.08508392740120875,77.99417830283754,0.08373565283501862,45.9364771717006,0.0807447366778304,117.28633365853871,0.08233776910115206,52.44272587237236,0.08403036386697406,41.0354518876527
8,0.09187672679122443,144.54983024408594,0.09069442231232423,152.53252988909398,0.09485453927393946,71.31305012401613,0.0929884975963907,90.08354927198893,0.09445973572695314,83.4169597179583,0.09672244165576452,77.75323232233461,0.0956148154274751,45.53158873501568,0.09226102191008975,117.16095167955244,0.09426408855269289,52.01291940088738,0.0959634141656224,40.67564356762325
9,0.10330015064450453,144.3521321710575,0.10204313448707926,152.3374884818664,0.10653580645466061,71.11447435952918,0.10444941680445047,89.88300069059119,0.10605723884717591,83.20451958285129,0.10836095591032029,77.50559115457723,0.10749397801993159,45.12831387453867,0.1037773071423491,117.00941927527988,0.10619040800423371,51.55656789688575,0.10789646446427074,40.30037055522426
10,0.11472357449778464,144.1258929634783,0.11339184666183427,152.11426993357398,0.11821707363538175,70.91081673812468,0.11591033601251023,89.67206079973074,0.1176547419673987,82.97824970564477,0.11999947016487605,77.25156534598477,0.11937314061238807,44.72680958302253,0.11529359237460846,116.83226686253033,0.11811672745577453,51.07548967067952,0.11982951476291909,39.910764707275085
11,0.12614699835106474,143.8715224702167,0.1247405588365893,151.8632204108869,0.1298983408161029,70.7023245254507,0.12737125522057,89.45132334282701,0.12925224508762148,82.73876109935706,0.13163798441943184,76.9914587945115,0.13125230320484457,44.327229615781704,0.1268098776068678,116.63002497796488,0.13004304690731536,50.57146377232472,0.13176256506156744,39.50793352589704
12,0.13757042220434484,143.58943748846437,0.13608927101134433,151.58469537712682,0.14157960799682406,70.48923944031586,0.13883217442862975,89.22136756151991,0.14084974820784424,82.48665240460213,0.14327649867398762,76.72556874964668,0.14313146579730107,43.92972449069213,0.13832616283912713,116.40322427809642,0.1419693663588562,50.0462299916214,0.1436956153602158,39.092960158513414
